figure	stem	source_path	source_status	evidence_identity	regeneration_status
Fig1	fig1_validation_gradient	evidence/source_data/provenance_by_source.csv	included	QC_descriptive	blocked_by_two_restricted_sources
Fig1	fig1_validation_gradient	evidence/source_data/provenance_by_target.csv	included	QC_descriptive	blocked_by_two_restricted_sources
Fig1	fig1_validation_gradient	evidence/source_data/data_missingness.csv	included	QC_descriptive	blocked_by_two_restricted_sources
Fig1	fig1_validation_gradient	restricted_input/source_data/compound_repeat_audit.csv	excluded_row_level	QC_descriptive	blocked
Fig1	fig1_validation_gradient	restricted_input/source_data/exact_context_repeat_audit.csv	excluded_row_level	QC_descriptive	blocked
Fig2	fig2_internal_evidence	evidence/source_data/source_data_internal_models.csv	included	confirmatory	ready
Fig2	fig2_internal_evidence	evidence/source_data/source_data_internal_contrasts.csv	included	confirmatory_and_formal_matched_extension	ready
Fig2	fig2_internal_evidence	evidence/source_data/source_data_hgb_model_family_sensitivity.csv	included	post_hoc_sensitivity	ready
Fig2	fig2_internal_evidence	evidence/source_data/source_data_graph_model_family_sensitivity.csv	included	post_hoc_molecular_graph_sensitivity	ready
Fig3	fig3_domain_transfer	evidence/source_data/source_data_confirmatory_ood.csv	included	confirmatory	ready
Fig3	fig3_domain_transfer	evidence/source_data/source_data_strict_ood.csv	included	post_hoc_sensitivity	ready
Fig3	fig3_domain_transfer	evidence/source_data/source_data_hgb_model_family_sensitivity.csv	included	post_hoc_sensitivity	ready
Fig3	fig3_domain_transfer	evidence/source_data/source_data_graph_model_family_sensitivity.csv	included	post_hoc_molecular_graph_sensitivity	ready
Fig4	fig4_boundary_and_calibration	evidence/source_data/source_data_ood_domains.csv	included	confirmatory_estimates_exploratory_domain_interpretation	ready
Fig4	fig4_boundary_and_calibration	evidence/source_data/source_data_lodo.csv	included	post_hoc_exploratory	ready
Fig4	fig4_boundary_and_calibration	evidence/source_data/source_data_calibration.csv	included	post_hoc_exploratory	ready
Fig5	fig5_robustness_map	evidence/source_data/source_data_extension_portable_context.csv	included	post_hoc_computational_extension_float32_v4	ready
Fig5	fig5_robustness_map	evidence/source_data/source_data_extension_weighting_bootstrap.csv	included	post_hoc_computational_extension_float32_v4	ready
Fig5	fig5_robustness_map	evidence/source_data/source_data_extension_generic_scaffold.csv	included	post_hoc_computational_extension_float32_v4	ready
Fig5	fig5_robustness_map	evidence/source_data/source_data_extension_source_deletion.csv	included	post_hoc_computational_extension_float32_v4	ready
Fig5	fig5_robustness_map	evidence/source_data/source_data_internal_models.csv	included	post_hoc_computational_extension_float32_v4	ready
SuppFigS1	supp_fig_s1_applicability_profile	evidence/source_data/source_data_extension_applicability_models.csv	included	post_hoc_computational_extension_float32_v4	ready
SuppFigS1	supp_fig_s1_applicability_profile	evidence/source_data/source_data_extension_applicability_domains.csv	included	post_hoc_computational_extension_float32_v4	ready
SuppFigS1	supp_fig_s1_applicability_profile	evidence/source_data/source_data_extension_applicability_contrasts.csv	included	post_hoc_computational_extension_float32_v4	ready
SuppFigS2	supp_fig_s2_permutation_controls	evidence/source_data/source_data_extension_permutation_models.csv	included	post_hoc_computational_extension_float32_v4	ready
SuppFigS2	supp_fig_s2_permutation_controls	evidence/source_data/source_data_extension_permutation_contrasts.csv	included	post_hoc_computational_extension_float32_v4	ready
SuppFigS2	supp_fig_s2_permutation_controls	evidence/source_data/source_data_extension_permutation_inference.csv	included	post_hoc_computational_extension_float32_v4	ready
SuppFigS2	supp_fig_s2_permutation_controls	evidence/source_data/source_data_extension_permutation_diagnostics.csv	included	post_hoc_computational_extension_float32_v4	ready
SuppFigS3	supp_fig_s3_endpoint_selection_boundary	evidence/source_data/source_data_extension_censoring_overall.csv	included	post_hoc_computational_extension_float32_v4	ready
SuppFigS3	supp_fig_s3_endpoint_selection_boundary	evidence/source_data/source_data_extension_censoring_by_source.csv	included	post_hoc_computational_extension_float32_v4	ready
SuppFigS3	supp_fig_s3_endpoint_selection_boundary	evidence/source_data/source_data_extension_censoring_by_target.csv	included	post_hoc_computational_extension_float32_v4	ready
SuppFigS3	supp_fig_s3_endpoint_selection_boundary	evidence/source_data/source_data_extension_censoring_overlap.csv	included	post_hoc_computational_extension_float32_v4	ready
SuppFigS3	supp_fig_s3_endpoint_selection_boundary	evidence/source_data/source_data_extension_censoring_operator_counts.csv	included	post_hoc_computational_extension_float32_v4	ready
SuppFigS3	supp_fig_s3_endpoint_selection_boundary	evidence/source_data/source_data_extension_censoring_selection_flow.csv	included	post_hoc_computational_extension_float32_v4	ready
SuppFigS3	supp_fig_s3_endpoint_selection_boundary	evidence/source_data/source_data_extension_censoring_source_selection.csv	included	post_hoc_computational_extension_float32_v4	ready
