source_name	filename	required_for_historical_builder	size_bytes	sha256	official_match_2026_07_29	acquisition_route	release_included
MGTbind	mgtbind_compounds_260531.csv	yes	UNKNOWN	db854e2e695179003e280d171b44eb7b6ca96769ab1617604c3e50303c68a456	yes	https://mgtbind.pkumdl.cn/download	no
MGTbind	mgtbind_complexes_260531.csv	yes	UNKNOWN	43b23742f56a6dadd9b053911485e0dc49737ff05b6096350958cc02cd84e9ed	yes	https://mgtbind.pkumdl.cn/download	no
MGTbind	mgtbind_citations_260531.csv	yes	UNKNOWN	c9495b1c1ab78a01efccfb16baf0e3c16e61182b999045b3e4d4b880a6f3fcb5	yes	https://mgtbind.pkumdl.cn/download	no
MGDB	mgdb_MG_Compound_260531.csv	yes	UNKNOWN	c55ea2e9e41c9bf245ffcbb32952d00aa762d187409428b12d7816234df8cabe	yes	http://mgdb.idruglab.cn/download	no
MGDB	mgdb_Activity_Data_260531.csv	yes	UNKNOWN	ca4050151504afec592de711062da86b394ab587acd608b941b55d29771e8429	yes	http://mgdb.idruglab.cn/download	no
MGDB	mgdb_Article_Reference_260531.csv	no	UNKNOWN	b063375c1747b3d9009a9949279732109da1ed5b941b2a31bf47082ad23ee3a5	yes	http://mgdb.idruglab.cn/download	no
MGDB	mgdb_Patent_Reference_260531.csv	no	UNKNOWN	18f5338adb5e1b1f80fcf9799ecea80f1c892699c4d93b2d85a3f490b8da9e4d	yes	http://mgdb.idruglab.cn/download	no
MolGlueDB	molgluedb_full_260531.tar.gz	no	UNKNOWN	8ec9b2d51cdaff471e183073731e3e3464684494adba025738b7843ac6b84f15	unavailable	https://www.molgluedb.com/download	no
MolGlueDB	MolGlueDB_full.csv	yes	UNKNOWN	cf1d0d61b889539d56b250f5adeb7652ef1a25ebe5008110db86bd28328a1d48	unavailable	https://www.molgluedb.com/download	no
TPDdb	tpddb_MG_main_table_260531.txt	yes	UNKNOWN	8a6d0884d4c936c93e7904f723cb25aca252665dee7a4cc7aa46105f8b7216a3	yes	https://tpddb.idrblab.net/download	no
TPDdb	tpddb_MG_activity_260531.txt	yes	UNKNOWN	fe83868e3a4180acab2441f6c42006fdcf30e9da229a211ff6a313c992d9c40b	yes	https://tpddb.idrblab.net/download	no
TPDdb	tpddb_TPD_PDB_260531.txt	no	UNKNOWN	e33e975da7aa67d3683f7d866d23fd1188ce8a36fca90615f85ba065ae9ae3ec	yes	https://tpddb.idrblab.net/download	no
derived_private	all_molglue_dc50_qc_train_test.csv	intermediate	544475	3ca416b13e776e821c23335b0c751db7f1479f93c3620e996b99653fc2d46e7f	not_applicable	private deterministic reconstruction after rights clearance	no
derived_private	all_molglue_dc50_qc_train_test_standardized_context.csv	frozen_model_input	664847	e9494246bcbd198bc09d5b0d09721910c33f70f46ae859b76377a13775e3e4b2	not_applicable	private deterministic reconstruction after rights clearance	no
