column,n_missing,missing_fraction,n_unique_nonmissing
activity_time,1365,0.875,9
raw_activity_time,1365,0.875,11
source_url,710,0.4551282051282051,83
target_uniprot,289,0.18525641025641026,48
recruiting_protein_uniprot,124,0.07948717948717948,18
assay_method,50,0.03205128205128205,12
raw_assay_method,50,0.03205128205128205,20
canonical_smiles,0,0.0,1137
cell_line,0,0.0,45
confirmatory_scaffold_id,0,0.0,667
dc50_nM,0,0.0,913
dc50_nM_max,0,0.0,901
dc50_nM_min,0,0.0,904
input_cell_line,0,0.0,47
input_pDC50,0,0.0,913
input_recruiting_protein,0,0.0,13
input_source_database,0,0.0,7
input_target_protein,0,0.0,57
mode_of_action,0,0.0,9
modeling_cell_line,0,0.0,45
modeling_pDC50,0,0.0,913
modeling_recruiting_protein,0,0.0,13
modeling_source_database,0,0.0,7
modeling_target_protein,0,0.0,53
molecular_glue_name,0,0.0,1174
n_measurements,0,0.0,9
pDC50,0,0.0,913
qc_id,0,0.0,1560
raw_cell_line,0,0.0,87
raw_mode_of_action,0,0.0,10
raw_recruiting_protein,0,0.0,18
raw_source_database,0,0.0,7
raw_target_protein,0,0.0,68
record_id,0,0.0,1558
recruiting_protein,0,0.0,13
smiles,0,0.0,1333
source_database,0,0.0,7
source_id,0,0.0,1450
species,0,0.0,1
split,0,0.0,2
target_protein,0,0.0,53
