assay_method,n_rows,n_unique_compounds,n_scaffolds,n_sources,n_targets,n_recruiting_proteins,n_cell_lines,n_assay_methods,pDC50_median,pDC50_q25,pDC50_q75,pDC50_min,pDC50_max,target_uniprot_coverage,recruiting_uniprot_coverage
<missing>,50,42,31,1,14,5,7,1,7.347754736113256,6.0,8.099189861872219,5.273097641843328,9.0,1.0,1.0
HiBiT,114,114,43,1,1,1,1,1,7.404526160449906,7.013678963914452,7.736193929199697,5.330683119433887,8.619788758288394,1.0,1.0
MSD,25,25,15,1,2,2,2,1,7.721246399047171,7.443697499232712,8.200659450546418,5.481486060122112,8.522878745280337,1.0,1.0
NanoBRET,146,146,103,1,2,1,2,1,7.498942898698582,7.169412755465872,7.837144664636725,5.232102383981909,8.373659632624957,1.0,1.0
activity_table,119,118,58,1,9,4,10,1,7.401100112936117,6.804179648253806,8.102407705158788,4.860190783983404,9.570247719997592,1.0,0.0
cellular_degradation,3,2,2,1,3,2,2,1,8.397940008672037,8.1419983281826,8.548455006504028,7.886056647693163,8.698970004336019,1.0,1.0
dc50_assay,755,664,394,1,27,7,29,1,7.38795825535473,6.5414547764307835,7.9757208375507584,4.721246399047171,10.0,1.0,1.0
dc50_assay+target_degradation_text,32,32,16,1,3,1,1,1,8.301551775428738,7.492403104432473,8.698970004336019,6.494850021680094,9.397940008672036,1.0,1.0
dc50_assay+western_blot,1,1,1,1,1,1,1,1,9.570247719997592,9.570247719997592,9.570247719997592,9.570247719997592,9.570247719997592,1.0,1.0
target_degradation_text,292,248,145,2,30,7,18,1,7.552841968657781,6.564687669045204,8.088867113964227,4.721246399047171,10.744727494896694,0.010273972602739725,0.9828767123287672
target_degradation_text+western_blot,4,4,4,1,1,1,1,1,6.799299729609228,6.453356966489771,7.045757490560675,6.154901959985743,7.045757490560675,1.0,1.0
viability,5,3,3,1,4,1,3,1,7.00436480540245,6.073657553374344,8.0,5.878440155812498,8.698970004336019,1.0,1.0
western_blot,14,11,11,1,6,3,7,1,7.284326160559851,6.928309559796736,8.656053014617322,2.3766845364369704,9.193820026016112,1.0,1.0
