cell_line,n_rows,n_unique_compounds,n_scaffolds,n_sources,n_targets,n_recruiting_proteins,n_cell_lines,n_assay_methods,pDC50_median,pDC50_q25,pDC50_q75,pDC50_min,pDC50_max,target_uniprot_coverage,recruiting_uniprot_coverage
22Rv1,1,1,1,1,1,1,1,1,7.721246399047171,7.721246399047171,7.721246399047171,7.721246399047171,7.721246399047171,1.0,1.0
A549,6,6,6,2,1,1,1,2,6.75842039514151,6.404234752396517,7.218232470439577,5.236572006437063,7.481486060122112,1.0,0.8333333333333334
AML(KG-1),1,1,1,1,1,1,1,1,9.570247719997592,9.570247719997592,9.570247719997592,9.570247719997592,9.570247719997592,1.0,0.0
BE(2)-C,8,4,4,2,1,1,1,2,4.975390988664909,4.820715573003114,5.111407999752478,4.721246399047171,5.154901959985743,0.5,1.0
CAL51,1,1,1,1,1,1,1,1,8.301029995663981,8.301029995663981,8.301029995663981,8.301029995663981,8.301029995663981,1.0,1.0
CD8_T_cells,3,2,2,1,2,1,1,1,7.455931955649724,6.727965977824862,7.468709007885918,6.0,7.481486060122112,1.0,1.0
GSPT1,1,1,1,1,1,1,1,1,7.169411331314856,7.169411331314856,7.169411331314856,7.169411331314856,7.169411331314856,0.0,1.0
H3122,1,1,1,1,1,1,1,1,6.739928612014925,6.739928612014925,6.739928612014925,6.739928612014925,6.739928612014925,1.0,1.0
HCT116,4,4,4,1,1,1,1,1,6.975390988664909,6.902949170926714,7.007762579754664,6.7594507517174005,7.031050319018657,1.0,1.0
HD-MB03,1,1,1,1,1,1,1,1,6.073657553374344,6.073657553374344,6.073657553374344,6.073657553374344,6.073657553374344,1.0,1.0
HD-MB04,1,1,1,1,1,1,1,1,5.878440155812498,5.878440155812498,5.878440155812498,5.878440155812498,5.878440155812498,1.0,1.0
HEK293,34,31,20,4,4,3,1,4,7.600329725273209,6.0,8.395259042324094,6.0,9.154901959985745,0.9705882352941176,0.9117647058823529
HEK293T,253,245,176,4,19,4,1,5,7.2958494831602,6.711415455032714,7.790484985457369,5.164372833790102,9.0,0.9841897233201581,0.9881422924901185
HL-60,2,1,1,2,1,2,1,2,6.259637310505756,6.259637310505756,6.259637310505756,6.259637310505756,6.259637310505756,0.5,0.5
HT1080,132,117,46,3,2,1,1,3,7.415721796568137,7.034567857107028,7.749600714593506,5.330683119433887,9.327902142064282,1.0,0.8787878787878788
Hela,1,1,1,1,1,1,1,1,5.060480747381382,5.060480747381382,5.060480747381382,5.060480747381382,5.060480747381382,1.0,1.0
JAR,2,1,1,1,2,1,1,1,5.9535453320694955,5.8755285075047015,6.0315621566342905,5.7975116829399065,6.1095789811990855,1.0,1.0
Jurkat,435,422,242,3,9,2,1,4,7.585026652029182,6.8954446423010705,8.004809258585674,4.860190783983404,8.958607314841775,0.9954022988505747,1.0
K562,2,2,1,1,1,1,1,1,9.0,9.0,9.0,9.0,9.0,1.0,1.0
KG-1,1,1,1,1,1,1,1,1,9.570247719997592,9.570247719997592,9.570247719997592,9.570247719997592,9.570247719997592,1.0,1.0
LNCaP,1,1,1,1,1,1,1,1,8.823908740944319,8.823908740944319,8.823908740944319,8.823908740944319,8.823908740944319,1.0,1.0
MOLM-13,1,1,1,1,1,1,1,1,8.431798275933005,8.431798275933005,8.431798275933005,8.431798275933005,8.431798275933005,1.0,1.0
MOLT4,72,39,11,4,6,3,1,3,6.102372908709558,5.8124792791635365,6.910094888560602,5.0,8.397940008672037,0.6111111111111112,0.9722222222222222
