recruiting_protein,n_rows,n_unique_compounds,n_scaffolds,n_sources,n_targets,n_recruiting_proteins,n_cell_lines,n_assay_methods,pDC50_median,pDC50_q25,pDC50_q75,pDC50_min,pDC50_max,target_uniprot_coverage,recruiting_uniprot_coverage
CRBN,1350,1001,578,7,34,1,36,12,7.537602002101044,6.947268006937926,8.010440019302973,2.3766845364369704,10.0,0.8281481481481482,0.9155555555555556
DCAF11,1,1,1,1,1,1,1,1,7.913640169325252,7.913640169325252,7.913640169325252,7.913640169325252,7.913640169325252,1.0,0.0
DCAF15,4,4,4,1,1,1,1,1,6.975390988664909,6.902949170926714,7.007762579754664,6.7594507517174005,7.031050319018657,1.0,1.0
DCAF16,9,5,1,4,2,1,3,4,8.397940008672037,8.397940008672037,9.0,6.153044674980176,9.522878745280336,0.5555555555555556,0.8888888888888888
DDB1,89,75,54,4,4,1,3,3,6.39040559077478,6.0,7.045757490560675,5.236572006437063,9.0,0.8764044943820225,0.9662921348314607
FBXO22,10,5,4,1,2,1,1,1,8.083554027620105,7.83944571763153,8.747901062553744,7.744727494896693,10.744727494896694,0.0,1.0
KLHDC3,1,1,1,1,1,1,1,1,8.187086643357144,8.187086643357144,8.187086643357144,8.187086643357144,8.187086643357144,1.0,1.0
MDM2,9,9,7,1,1,1,2,1,8.744727494896694,7.769551078621726,8.920818753952375,5.638272163982407,8.958607314841775,1.0,1.0
RNF126,50,22,6,3,6,1,10,2,5.892790030352131,5.709965388637482,6.008773924307505,5.060480747381382,6.739928612014925,0.6,1.0
RNF127,5,1,1,1,1,1,4,1,6.346787486224656,6.259637310505756,6.3872161432802645,5.886056647693163,6.4089353929735005,0.0,0.0
SIAH1,2,2,2,1,1,1,1,1,7.481685552318919,7.37304332631037,7.5903277783274685,7.26440110030182,7.698970004336019,1.0,1.0
VHL,28,19,18,3,8,1,2,2,6.45717457304082,5.623621339132524,7.431798275933005,5.164372833790102,9.0,0.75,1.0
YPEL5_WDR26_WDR26,2,2,1,1,1,1,1,1,6.541402218131353,6.426046679503866,6.656757756758839,6.310691140876379,6.772113295386326,1.0,1.0
