target_protein,n_rows,n_unique_compounds,n_scaffolds,n_sources,n_targets,n_recruiting_proteins,n_cell_lines,n_assay_methods,pDC50_median,pDC50_q25,pDC50_q75,pDC50_min,pDC50_max,target_uniprot_coverage,recruiting_uniprot_coverage
ALK,1,1,1,1,1,1,1,1,6.739928612014925,6.739928612014925,6.739928612014925,6.739928612014925,6.739928612014925,1.0,1.0
AR,3,1,1,1,1,1,3,1,8.823908740944319,8.809894379144197,8.91195437047216,8.795880017344075,9.0,1.0,1.0
BCL2L1,2,1,1,1,1,2,1,0,7.200659450546418,7.200659450546418,7.200659450546418,7.200659450546418,7.200659450546418,1.0,1.0
BCL6,2,2,2,1,1,1,1,1,7.481685552318919,7.37304332631037,7.5903277783274685,7.26440110030182,7.698970004336019,1.0,1.0
BRD2,2,2,2,1,1,1,1,1,6.732441589598524,6.171726402236905,7.293156776960143,5.611011214875286,7.853871964321762,1.0,1.0
BRD4,19,16,11,4,1,4,5,4,7.022276394711152,6.124977343994116,8.397940008672037,5.164372833790102,9.522878745280336,0.8421052631578947,0.8947368421052632
BRD9,3,2,2,3,1,2,2,2,6.96657624451305,6.96657624451305,7.7447274948966935,6.96657624451305,8.522878745280337,0.6666666666666666,1.0
BRDT,2,2,2,1,1,1,1,1,6.6125737034573,6.058237355662364,7.166910051252236,5.503901007867428,7.721246399047171,1.0,1.0
BTK,1,1,1,1,1,1,1,0,7.508638306165727,7.508638306165727,7.508638306165727,7.508638306165727,7.508638306165727,1.0,1.0
CCNK,1,1,1,1,1,1,1,1,6.920818753952375,6.920818753952375,6.920818753952375,6.920818753952375,6.920818753952375,1.0,0.0
CCNK+CDK12,86,73,52,3,1,1,3,3,6.3861787470313445,6.0,7.053077368527542,5.236572006437063,9.0,0.872093023255814,0.9883720930232558
CDK12,1,1,1,1,1,1,1,1,6.8794260687941495,6.8794260687941495,6.8794260687941495,6.8794260687941495,6.8794260687941495,1.0,0.0
CDK2,145,145,102,1,1,1,1,1,7.500312917381596,7.168770306132936,7.838631997765026,5.232102383981909,8.373659632624957,1.0,1.0
CDK4,1,1,1,1,1,1,1,1,8.0,8.0,8.0,8.0,8.0,1.0,1.0
CDK6,1,1,1,1,1,1,1,1,8.698970004336019,8.698970004336019,8.698970004336019,8.698970004336019,8.698970004336019,1.0,1.0
CDO1,6,3,3,2,1,1,2,2,7.431798275933005,6.7008304987638665,7.930632078739293,6.45717457304082,8.096910013008056,0.5,1.0
CSNK1A1,159,139,68,4,1,1,8,4,7.853871964321762,6.843214015780092,8.323330452344347,5.0,9.045757490560677,0.559748427672956,0.9371069182389937
CSNK1A1+IKZF1,9,7,7,2,1,2,3,1,6.294992040666664,5.406713932979542,7.161150909262744,5.273097641843328,8.127843727251708,0.7777777777777778,1.0
CSNK1A1+IKZF1+IKZF3,1,1,1,1,1,1,1,1,8.148741651280925,8.148741651280925,8.148741651280925,8.148741651280925,8.148741651280925,0.0,1.0
CSNK1A1+IKZF2,20,20,10,1,1,1,1,1,7.555349148746844,6.650494587909813,8.431804822429807,6.102372908709558,9.045757490560677,0.0,1.0
ER,1,1,1,1,1,1,1,0,8.698970004336019,8.698970004336019,8.698970004336019,8.698970004336019,8.698970004336019,1.0,1.0
GEMIN3,6,3,2,2,1,1,2,2,5.6399203482970215,5.492463964569284,5.876766537814166,5.267606240177031,6.167491087293763,0.5,1.0
GSPT1,154,106,74,7,1,2,16,7,7.301029995663981,6.6636671556426545,8.339780305324595,4.721246399047171,9.570247719997592,0.7922077922077922,0.7662337662337663
GSPT1+GSPT2,1,1,1,1,1,1,1,1,7.073400346092972,7.073400346092972,7.073400346092972,7.073400346092972,7.073400346092972,0.0,1.0
GSPT2,1,1,1,1,1,1,1,1,7.374687549038326,7.374687549038326,7.374687549038326,7.374687549038326,7.374687549038326,1.0,1.0
IDO1,1,1,1,1,1,1,1,1,8.187086643357144,8.187086643357144,8.187086643357144,8.187086643357144,8.187086643357144,1.0,1.0
IKZF1,65,60,34,5,1,1,5,3,7.275724130399211,6.560667306169737,7.790484985457369,5.769551078621726,9.0,0.47692307692307695,1.0
IKZF1+IKZF3,1,1,1,1,1,1,1,1,6.711415455032714,6.711415455032714,6.711415455032714,6.711415455032714,6.711415455032714,0.0,1.0
IKZF2,76,65,32,5,1,1,5,5,7.987162775294828,7.552263445844302,8.422526567566917,6.037062711569998,9.397940008672036,0.8421052631578947,1.0
IKZF2+SALL4,1,1,1,1,1,1,1,1,7.886056647693163,7.886056647693163,7.886056647693163,7.886056647693163,7.886056647693163,0.0,1.0
IKZF3,9,9,9,2,1,1,2,2,7.552841968657781,7.494850021680094,7.853871964321762,7.481486060122112,7.958607314841775,0.1111111111111111,1.0
IKZF4,4,4,4,2,1,1,2,2,8.943028323846582,8.636056647693163,9.25,7.886056647693163,10.0,1.0,1.0
IRAK4,27,24,14,2,1,1,2,2,7.853871964321762,7.468709007885918,8.221848749616356,5.481486060122112,8.522878745280337,0.8888888888888888,1.0
