analysis_identity,regime,protocol,similarity_bin,contrast_id,n_rows,n_unique_smiles,n_scaffolds,n_heldout_groups,n_domains_expected,n_bootstrap_requested,delta_definition,direction,delta_spearman,delta_rmse,delta_mae,n_domains_total,represented_domains_json,represented_domains_sha256,delta_domain_macro_spearman,delta_domain_macro_spearman_finite_domains,delta_domain_macro_spearman_n_domains_eligible,delta_domain_macro_spearman_eligible_domains_json,delta_domain_macro_spearman_eligible_domains_sha256,delta_domain_macro_spearman_n_sparse_eligible_domains,delta_domain_macro_spearman_sparse_eligible_domains_json,delta_domain_macro_spearman_sparse_eligible_domains_sha256,delta_domain_macro_rmse,delta_domain_macro_rmse_finite_domains,delta_domain_macro_rmse_n_domains_eligible,delta_domain_macro_rmse_eligible_domains_json,delta_domain_macro_rmse_eligible_domains_sha256,delta_domain_macro_rmse_n_sparse_eligible_domains,delta_domain_macro_rmse_sparse_eligible_domains_json,delta_domain_macro_rmse_sparse_eligible_domains_sha256,delta_domain_macro_mae,delta_domain_macro_mae_finite_domains,delta_domain_macro_mae_n_domains_eligible,delta_domain_macro_mae_eligible_domains_json,delta_domain_macro_mae_eligible_domains_sha256,delta_domain_macro_mae_n_sparse_eligible_domains,delta_domain_macro_mae_sparse_eligible_domains_json,delta_domain_macro_mae_sparse_eligible_domains_sha256,delta_spearman_n_bootstrap_finite,delta_spearman_ci_low,delta_spearman_ci_high,delta_spearman_non_estimable_reason,delta_rmse_n_bootstrap_finite,delta_rmse_ci_low,delta_rmse_ci_high,delta_rmse_non_estimable_reason,delta_mae_n_bootstrap_finite,delta_mae_ci_low,delta_mae_ci_high,delta_mae_non_estimable_reason,delta_domain_macro_spearman_n_bootstrap_requested,delta_domain_macro_spearman_n_bootstrap_finite,delta_domain_macro_spearman_n_bootstrap_valid,delta_domain_macro_spearman_n_bootstrap_invalid_missing_domain,delta_domain_macro_spearman_n_bootstrap_invalid_metric_nonestimable,delta_domain_macro_spearman_n_bootstrap_not_attempted_structural,delta_domain_macro_spearman_minimum_valid_required,delta_domain_macro_spearman_ci_low,delta_domain_macro_spearman_ci_high,delta_domain_macro_spearman_ci_status,delta_domain_macro_spearman_non_estimable_reason,delta_domain_macro_rmse_n_bootstrap_requested,delta_domain_macro_rmse_n_bootstrap_finite,delta_domain_macro_rmse_n_bootstrap_valid,delta_domain_macro_rmse_n_bootstrap_invalid_missing_domain,delta_domain_macro_rmse_n_bootstrap_invalid_metric_nonestimable,delta_domain_macro_rmse_n_bootstrap_not_attempted_structural,delta_domain_macro_rmse_minimum_valid_required,delta_domain_macro_rmse_ci_low,delta_domain_macro_rmse_ci_high,delta_domain_macro_rmse_ci_status,delta_domain_macro_rmse_non_estimable_reason,delta_domain_macro_mae_n_bootstrap_requested,delta_domain_macro_mae_n_bootstrap_finite,delta_domain_macro_mae_n_bootstrap_valid,delta_domain_macro_mae_n_bootstrap_invalid_missing_domain,delta_domain_macro_mae_n_bootstrap_invalid_metric_nonestimable,delta_domain_macro_mae_n_bootstrap_not_attempted_structural,delta_domain_macro_mae_minimum_valid_required,delta_domain_macro_mae_ci_low,delta_domain_macro_mae_ci_high,delta_domain_macro_mae_ci_status,delta_domain_macro_mae_non_estimable_reason,bootstrap_non_estimable_reason
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.0_to_lt_0.4,full_minus_chemistry,39,22,22,1,1,10000,Spearman: full - chemistry; RMSE/MAE: chemistry - full,positive values favor full for every metric,0.0608147672728617,0.0110219603411823,0.016237950936342,1,"[""pooled""]",b5bb8969215cacb0dccf8d07f7f202ee3b50d09e1761402f3ec8dbc43fe4273a,,0,0,[],,0,[],,,0,0,[],,0,[],,,0,0,[],,0,[],,10000,-0.0690042333364367,0.2396214788828107,,10000,-0.0045401723782551,0.0312211996119964,,10000,-0.005809346607753,0.0394259328697664,,10000,0,0,0,0,0,5000,,,NOT_APPLICABLE_INTERNAL_POOLED,not_applicable_internal_pooled,10000,0,0,0,0,0,5000,,,NOT_APPLICABLE_INTERNAL_POOLED,not_applicable_internal_pooled,10000,0,0,0,0,0,5000,,,NOT_APPLICABLE_INTERNAL_POOLED,not_applicable_internal_pooled,
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.4_to_lt_0.6,full_minus_chemistry,168,90,55,1,1,10000,Spearman: full - chemistry; RMSE/MAE: chemistry - full,positive values favor full for every metric,0.1207933130099701,0.0561053787329666,0.051472783088684,1,"[""pooled""]",b5bb8969215cacb0dccf8d07f7f202ee3b50d09e1761402f3ec8dbc43fe4273a,,0,0,[],,0,[],,,0,0,[],,0,[],,,0,0,[],,0,[],,10000,0.0239043734673562,0.2091047423530165,,10000,0.0269985241502666,0.0872260405826096,,10000,0.0211541048285929,0.0849832627355937,,10000,0,0,0,0,0,5000,,,NOT_APPLICABLE_INTERNAL_POOLED,not_applicable_internal_pooled,10000,0,0,0,0,0,5000,,,NOT_APPLICABLE_INTERNAL_POOLED,not_applicable_internal_pooled,10000,0,0,0,0,0,5000,,,NOT_APPLICABLE_INTERNAL_POOLED,not_applicable_internal_pooled,
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.6_to_lt_0.8,full_minus_chemistry,874,630,371,1,1,10000,Spearman: full - chemistry; RMSE/MAE: chemistry - full,positive values favor full for every metric,0.043628065836742,0.0418621266570988,0.0348518006043249,1,"[""pooled""]",b5bb8969215cacb0dccf8d07f7f202ee3b50d09e1761402f3ec8dbc43fe4273a,,0,0,[],,0,[],,,0,0,[],,0,[],,,0,0,[],,0,[],,10000,0.006502796668425,0.0934072180111342,,10000,0.020823273777077,0.064325495050924,,10000,0.0156775840325028,0.0561250993274187,,10000,0,0,0,0,0,5000,,,NOT_APPLICABLE_INTERNAL_POOLED,not_applicable_internal_pooled,10000,0,0,0,0,0,5000,,,NOT_APPLICABLE_INTERNAL_POOLED,not_applicable_internal_pooled,10000,0,0,0,0,0,5000,,,NOT_APPLICABLE_INTERNAL_POOLED,not_applicable_internal_pooled,
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.8_to_1.000001,full_minus_chemistry,479,395,282,1,1,10000,Spearman: full - chemistry; RMSE/MAE: chemistry - full,positive values favor full for every metric,0.0582652704780438,0.0338293493463396,0.0188554029126256,1,"[""pooled""]",b5bb8969215cacb0dccf8d07f7f202ee3b50d09e1761402f3ec8dbc43fe4273a,,0,0,[],,0,[],,,0,0,[],,0,[],,,0,0,[],,0,[],,10000,0.0105633082986425,0.1114765088926645,,10000,0.0130245792706268,0.0560260309027213,,10000,0.0002264750010176,0.0392855282011885,,10000,0,0,0,0,0,5000,,,NOT_APPLICABLE_INTERNAL_POOLED,not_applicable_internal_pooled,10000,0,0,0,0,0,5000,,,NOT_APPLICABLE_INTERNAL_POOLED,not_applicable_internal_pooled,10000,0,0,0,0,0,5000,,,NOT_APPLICABLE_INTERNAL_POOLED,not_applicable_internal_pooled,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.0_to_lt_0.4,full_minus_chemistry,798,727,429,4,4,10000,Spearman: full - chemistry; RMSE/MAE: chemistry - full,positive values favor full for every metric,0.0522860348211125,0.044118217716682,0.0391279527716768,4,"[""MGDB"",""MGTbind"",""MolGlueDB"",""TPDdb""]",02deb323e028ef9f11e74abade6c060a1f719eb88a73afd61cfcc91127941e3e,0.0623905091890023,4,4,"[""MGDB"",""MGTbind"",""MolGlueDB"",""TPDdb""]",02deb323e028ef9f11e74abade6c060a1f719eb88a73afd61cfcc91127941e3e,0,[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,-0.0171150392677321,4,4,"[""MGDB"",""MGTbind"",""MolGlueDB"",""TPDdb""]",02deb323e028ef9f11e74abade6c060a1f719eb88a73afd61cfcc91127941e3e,0,[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,-0.0181545022361936,4,4,"[""MGDB"",""MGTbind"",""MolGlueDB"",""TPDdb""]",02deb323e028ef9f11e74abade6c060a1f719eb88a73afd61cfcc91127941e3e,0,[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,10000,0.0087923439084877,0.0914547295307701,,10000,0.0181443563293548,0.0728046529431761,,10000,0.0224872288848216,0.0555569470762599,,10000,4011,4011,1341,4648,0,5000,,,NON_ESTIMABLE_TOO_FEW_VALID,too_few_complete_fixed_domain_bootstrap_replicates,10000,8659,8659,1341,0,0,5000,-0.0363961430232253,0.0261706507259761,ESTIMATED,,10000,8659,8659,1341,0,0,5000,-0.0446806626853179,0.0338916807525054,ESTIMATED,,delta_domain_macro_spearman:too_few_complete_fixed_domain_bootstrap_replicates
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.4_to_lt_0.6,full_minus_chemistry,360,263,170,4,4,10000,Spearman: full - chemistry; RMSE/MAE: chemistry - full,positive values favor full for every metric,-0.1506626367845203,-0.0157005759865802,-0.0127350754208034,4,"[""MGDB"",""MGTbind"",""MolGlueDB"",""TPDdb""]",02deb323e028ef9f11e74abade6c060a1f719eb88a73afd61cfcc91127941e3e,-0.117665098890096,4,4,"[""MGDB"",""MGTbind"",""MolGlueDB"",""TPDdb""]",02deb323e028ef9f11e74abade6c060a1f719eb88a73afd61cfcc91127941e3e,0,[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,-0.0328617939362842,4,4,"[""MGDB"",""MGTbind"",""MolGlueDB"",""TPDdb""]",02deb323e028ef9f11e74abade6c060a1f719eb88a73afd61cfcc91127941e3e,0,[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,-0.0415541895222828,4,4,"[""MGDB"",""MGTbind"",""MolGlueDB"",""TPDdb""]",02deb323e028ef9f11e74abade6c060a1f719eb88a73afd61cfcc91127941e3e,0,[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,10000,-0.2871843260476139,-0.0241768017544096,,10000,-0.0450359075798965,0.0097605869621221,,10000,-0.0440189569417418,0.0137726140827946,,10000,10000,10000,0,0,0,5000,-0.2303824610038096,0.0350693133682494,ESTIMATED,,10000,10000,10000,0,0,0,5000,-0.0635473105647868,-0.0007411215655664,ESTIMATED,,10000,10000,10000,0,0,0,5000,-0.0664484677903625,-0.0089903257748157,ESTIMATED,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.6_to_lt_0.8,full_minus_chemistry,239,183,95,4,4,10000,Spearman: full - chemistry; RMSE/MAE: chemistry - full,positive values favor full for every metric,-0.0415612843097817,-0.0149827773070738,-0.0052389420226029,4,"[""MGDB"",""MGTbind"",""MolGlueDB"",""TPDdb""]",02deb323e028ef9f11e74abade6c060a1f719eb88a73afd61cfcc91127941e3e,-0.052593255701982,4,4,"[""MGDB"",""MGTbind"",""MolGlueDB"",""TPDdb""]",02deb323e028ef9f11e74abade6c060a1f719eb88a73afd61cfcc91127941e3e,0,[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,-0.0215396416499843,4,4,"[""MGDB"",""MGTbind"",""MolGlueDB"",""TPDdb""]",02deb323e028ef9f11e74abade6c060a1f719eb88a73afd61cfcc91127941e3e,0,[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,-0.0128745481682485,4,4,"[""MGDB"",""MGTbind"",""MolGlueDB"",""TPDdb""]",02deb323e028ef9f11e74abade6c060a1f719eb88a73afd61cfcc91127941e3e,0,[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,10000,-0.1402761724617818,0.0456831963481849,,10000,-0.104812553487342,0.0740970843726512,,10000,-0.0721584797123643,0.0628010828785528,,10000,10000,10000,0,0,0,5000,-0.2506707143303737,0.0298294199051583,ESTIMATED,,10000,10000,10000,0,0,0,5000,-0.0756737561689435,0.035323138441874,ESTIMATED,,10000,10000,10000,0,0,0,5000,-0.0579974289914563,0.0319077427928628,ESTIMATED,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.8_to_1.000001,full_minus_chemistry,123,86,62,4,4,10000,Spearman: full - chemistry; RMSE/MAE: chemistry - full,positive values favor full for every metric,0.0304779315051466,0.0304323673733711,0.0132715372535271,4,"[""MGDB"",""MGTbind"",""MolGlueDB"",""TPDdb""]",02deb323e028ef9f11e74abade6c060a1f719eb88a73afd61cfcc91127941e3e,0.0290600084165519,4,4,"[""MGDB"",""MGTbind"",""MolGlueDB"",""TPDdb""]",02deb323e028ef9f11e74abade6c060a1f719eb88a73afd61cfcc91127941e3e,0,[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0.012613627587204,4,4,"[""MGDB"",""MGTbind"",""MolGlueDB"",""TPDdb""]",02deb323e028ef9f11e74abade6c060a1f719eb88a73afd61cfcc91127941e3e,0,[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0.0006719953799374,4,4,"[""MGDB"",""MGTbind"",""MolGlueDB"",""TPDdb""]",02deb323e028ef9f11e74abade6c060a1f719eb88a73afd61cfcc91127941e3e,0,[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,10000,-0.0576505215766342,0.1464195680947279,,10000,-0.0310890301376593,0.0912227425028178,,10000,-0.0510456797086966,0.0727857093665827,,10000,10000,10000,0,0,0,5000,-0.0655047153039045,0.1484393026075278,ESTIMATED,,10000,10000,10000,0,0,0,5000,-0.0655354963703889,0.0748425919666977,ESTIMATED,,10000,10000,10000,0,0,0,5000,-0.0603915464330331,0.051539042141771,ESTIMATED,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.0_to_lt_0.4,full_minus_chemistry,740,659,380,7,8,10000,Spearman: full - chemistry; RMSE/MAE: chemistry - full,positive values favor full for every metric,0.01986228174958,-0.0011866603831376,0.0084905888583208,7,"[""CCNK+CDK12"",""CDK2"",""CSNK1A1"",""GSPT1"",""IKZF2"",""VAV1"",""WIZ""]",b733fe24de8b64d766adb1b7bd1ac4e68ce8648ff4f609cb57367cee7d112884,-0.037101023216473,6,6,"[""CCNK+CDK12"",""CDK2"",""GSPT1"",""IKZF2"",""VAV1"",""WIZ""]",6ab4235362687a5320f8a3cdab1e30f33c3d835504508fa9a76339c3818bac70,1,"[""IKZF2""]",9e40f1fe4e1ed816a2976b6a2f4a3c49b7c1848cb9f82f8a387381b7983cb3b9,-0.0152592745324679,7,7,"[""CCNK+CDK12"",""CDK2"",""CSNK1A1"",""GSPT1"",""IKZF2"",""VAV1"",""WIZ""]",b733fe24de8b64d766adb1b7bd1ac4e68ce8648ff4f609cb57367cee7d112884,1,"[""IKZF2""]",9e40f1fe4e1ed816a2976b6a2f4a3c49b7c1848cb9f82f8a387381b7983cb3b9,-0.0119520930464959,7,7,"[""CCNK+CDK12"",""CDK2"",""CSNK1A1"",""GSPT1"",""IKZF2"",""VAV1"",""WIZ""]",b733fe24de8b64d766adb1b7bd1ac4e68ce8648ff4f609cb57367cee7d112884,1,"[""IKZF2""]",9e40f1fe4e1ed816a2976b6a2f4a3c49b7c1848cb9f82f8a387381b7983cb3b9,10000,-0.0466816691918467,0.0866724634072807,,10000,-0.0114087435227371,0.0110808847685243,,10000,-0.0058171044816123,0.0228189253237879,,10000,0,0,0,0,10000,5000,,,NON_ESTIMABLE_STRUCTURAL,fixed_eligible_domain_fewer_than_2_scaffold_clusters,10000,0,0,0,0,10000,5000,,,NON_ESTIMABLE_STRUCTURAL,fixed_eligible_domain_fewer_than_2_scaffold_clusters,10000,0,0,0,0,10000,5000,,,NON_ESTIMABLE_STRUCTURAL,fixed_eligible_domain_fewer_than_2_scaffold_clusters,delta_domain_macro_mae:fixed_eligible_domain_fewer_than_2_scaffold_clusters|delta_domain_macro_rmse:fixed_eligible_domain_fewer_than_2_scaffold_clusters|delta_domain_macro_spearman:fixed_eligible_domain_fewer_than_2_scaffold_clusters
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.4_to_lt_0.6,full_minus_chemistry,391,313,207,7,8,10000,Spearman: full - chemistry; RMSE/MAE: chemistry - full,positive values favor full for every metric,-0.1383109838658712,-0.0249347219329354,-0.0190021253912651,7,"[""CDK2"",""CSNK1A1"",""GSPT1"",""IKZF1"",""IKZF2"",""VAV1"",""WIZ""]",e21ad3117ee6f7051db0577e9c46d9fec7736791fc935c67f0f992a7717c647d,-0.0870819252736194,7,7,"[""CDK2"",""CSNK1A1"",""GSPT1"",""IKZF1"",""IKZF2"",""VAV1"",""WIZ""]",e21ad3117ee6f7051db0577e9c46d9fec7736791fc935c67f0f992a7717c647d,0,[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0.0118685318671208,7,7,"[""CDK2"",""CSNK1A1"",""GSPT1"",""IKZF1"",""IKZF2"",""VAV1"",""WIZ""]",e21ad3117ee6f7051db0577e9c46d9fec7736791fc935c67f0f992a7717c647d,0,[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0.0156120752915691,7,7,"[""CDK2"",""CSNK1A1"",""GSPT1"",""IKZF1"",""IKZF2"",""VAV1"",""WIZ""]",e21ad3117ee6f7051db0577e9c46d9fec7736791fc935c67f0f992a7717c647d,0,[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,10000,-0.207593933202117,-0.074910765955817,,10000,-0.0382138921912049,-0.0106177958978934,,10000,-0.0343262380770604,-0.0013709040582377,,10000,8568,8568,497,935,0,5000,-0.2031240384894867,-0.0012938484458622,ESTIMATED,,10000,9503,9503,497,0,0,5000,-0.0030744103482023,0.0274013137225819,ESTIMATED,,10000,9503,9503,497,0,0,5000,-0.0034877884064361,0.0310413052446675,ESTIMATED,,
