analysis_identity,regime,protocol,similarity_bin,heldout_group,model_id,n_rows,n_unique_smiles,n_scaffolds,spearman,rmse,mae,spearman_non_estimable_reason,rmse_non_estimable_reason,mae_non_estimable_reason
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.0_to_lt_0.4,pooled,chemistry_extra_trees,39,22,22,0.723268688211368,1.145143142977329,0.8356075885968332,,,
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.0_to_lt_0.4,pooled,full_context_extra_trees,39,22,22,0.7840834554842298,1.1341211826361468,0.8193696376604911,,,
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.4_to_lt_0.6,pooled,chemistry_extra_trees,168,90,55,0.277561610809363,1.1818350538309712,0.9590411680085318,,,
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.4_to_lt_0.6,pooled,full_context_extra_trees,168,90,55,0.3983549238193331,1.1257296750980046,0.9075683849198476,,,
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.6_to_lt_0.8,pooled,chemistry_extra_trees,874,630,371,0.6252645482214747,0.8100684189214823,0.6127411310951006,,,
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.6_to_lt_0.8,pooled,full_context_extra_trees,874,630,371,0.6688926140582168,0.7682062922643834,0.5778893304907757,,,
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.8_to_1.000001,pooled,chemistry_extra_trees,479,395,282,0.5688922043409831,0.6782954371580114,0.4691474082325595,,,
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.8_to_1.000001,pooled,full_context_extra_trees,479,395,282,0.627157474819027,0.6444660878116718,0.4502920053199339,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.0_to_lt_0.4,MGDB,chemistry_extra_trees,195,190,105,0.093264603011759,0.6894815332733748,0.5036214082668989,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.0_to_lt_0.4,MGTbind,chemistry_extra_trees,545,531,319,0.0153375090983806,1.0912355476082485,0.9201137577721832,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.0_to_lt_0.4,MolGlueDB,chemistry_extra_trees,55,45,18,0.3638431121968515,1.0925437869416472,0.8349431384693492,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.0_to_lt_0.4,TPDdb,chemistry_extra_trees,3,2,2,0.8660254037844387,1.3414218663379325,1.0513448715209968,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.0_to_lt_0.4,MGDB,full_context_extra_trees,195,190,105,0.1119452414332776,0.6889384214397912,0.5018016754052578,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.0_to_lt_0.4,MGTbind,full_context_extra_trees,545,531,319,0.0673925538884769,1.0306552175073826,0.8614772044190573,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.0_to_lt_0.4,MolGlueDB,full_context_extra_trees,55,45,18,0.4086948695256846,1.0889733724425898,0.8481823747808283,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.0_to_lt_0.4,TPDdb,full_context_extra_trees,3,2,2,1.0,1.4745758798423678,1.1711799303690595,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.4_to_lt_0.6,MGDB,chemistry_extra_trees,104,100,73,-0.2994662676865728,0.7339260862973233,0.5554818052511948,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.4_to_lt_0.6,MGTbind,chemistry_extra_trees,106,76,46,0.2049583662424761,1.0944405647108837,0.8988607874456441,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.4_to_lt_0.6,MolGlueDB,chemistry_extra_trees,103,83,56,-0.0006426152804827,1.176715577036836,0.9501598367413272,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.4_to_lt_0.6,TPDdb,chemistry_extra_trees,47,47,26,0.4499741293530525,1.1212630012657383,0.9348164010555188,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.4_to_lt_0.6,MGDB,full_context_extra_trees,104,100,73,-0.2368442812074157,0.7195422701371466,0.5352021318215591,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.4_to_lt_0.6,MGTbind,full_context_extra_trees,106,76,46,-0.0146118169294668,1.1291680221410263,0.9097491210361696,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.4_to_lt_0.6,MolGlueDB,full_context_extra_trees,103,83,56,0.1286752699989059,1.1215351793494084,0.9016950014725472,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.4_to_lt_0.6,TPDdb,full_context_extra_trees,47,47,26,0.0069440452060656,1.287546933428337,1.15888933425254,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.6_to_lt_0.8,MGDB,chemistry_extra_trees,31,28,19,0.7454678507615193,1.1439600701654773,0.9742438408636278,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.6_to_lt_0.8,MGTbind,chemistry_extra_trees,68,34,17,0.0036301122774956,0.909884173694075,0.7627737031263464,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.6_to_lt_0.8,MolGlueDB,chemistry_extra_trees,89,84,50,0.2307617012670502,1.148803037329569,0.9685892898045227,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.6_to_lt_0.8,TPDdb,chemistry_extra_trees,51,51,22,0.4014221457284033,1.000790250580504,0.735722635306564,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.6_to_lt_0.8,MGDB,full_context_extra_trees,31,28,19,0.6680097020979211,1.1947741069954,1.0183664137317288,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.6_to_lt_0.8,MGTbind,full_context_extra_trees,68,34,17,-0.12416965719602,0.9935122125870792,0.816734888974358,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.6_to_lt_0.8,MolGlueDB,full_context_extra_trees,89,84,50,0.1768727190071687,1.1287349103545474,0.9315053586209758,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.6_to_lt_0.8,TPDdb,full_context_extra_trees,51,51,22,0.4501960233174704,0.9725748684325362,0.7262210004469928,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.8_to_1.000001,MGDB,chemistry_extra_trees,27,22,17,-0.0653705603777271,0.983632941804167,0.7803016945167824,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.8_to_1.000001,MGTbind,chemistry_extra_trees,36,23,22,0.1073113983309012,0.9834708172488168,0.782195938958062,,,
