analysis_identity,target_protein,relation_class,n_records,group_total_records,fraction_within_group
post_hoc_extension_float32_v4,22RV1cells,equality,1,1,1.0
post_hoc_extension_float32_v4,22RV1cells,range,0,1,0.0
post_hoc_extension_float32_v4,22RV1cells,one_sided,0,1,0.0
post_hoc_extension_float32_v4,22RV1cells,missing_or_unparsed,0,1,0.0
post_hoc_extension_float32_v4,293T,equality,2,2,1.0
post_hoc_extension_float32_v4,293T,range,0,2,0.0
post_hoc_extension_float32_v4,293T,one_sided,0,2,0.0
post_hoc_extension_float32_v4,293T,missing_or_unparsed,0,2,0.0
post_hoc_extension_float32_v4,AKT1,equality,1,1,1.0
post_hoc_extension_float32_v4,AKT1,range,0,1,0.0
post_hoc_extension_float32_v4,AKT1,one_sided,0,1,0.0
post_hoc_extension_float32_v4,AKT1,missing_or_unparsed,0,1,0.0
post_hoc_extension_float32_v4,ALK,equality,1,1,1.0
post_hoc_extension_float32_v4,ALK,range,0,1,0.0
post_hoc_extension_float32_v4,ALK,one_sided,0,1,0.0
post_hoc_extension_float32_v4,ALK,missing_or_unparsed,0,1,0.0
post_hoc_extension_float32_v4,AR,equality,9,12,0.75
post_hoc_extension_float32_v4,AR,range,0,12,0.0
post_hoc_extension_float32_v4,AR,one_sided,3,12,0.25
post_hoc_extension_float32_v4,AR,missing_or_unparsed,0,12,0.0
post_hoc_extension_float32_v4,BCL6,equality,41,50,0.82
post_hoc_extension_float32_v4,BCL6,range,0,50,0.0
post_hoc_extension_float32_v4,BCL6,one_sided,9,50,0.18
post_hoc_extension_float32_v4,BCL6,missing_or_unparsed,0,50,0.0
post_hoc_extension_float32_v4,BDR3,equality,4,4,1.0
post_hoc_extension_float32_v4,BDR3,range,0,4,0.0
post_hoc_extension_float32_v4,BDR3,one_sided,0,4,0.0
post_hoc_extension_float32_v4,BDR3,missing_or_unparsed,0,4,0.0
post_hoc_extension_float32_v4,BDR4,equality,4,4,1.0
post_hoc_extension_float32_v4,BDR4,range,0,4,0.0
post_hoc_extension_float32_v4,BDR4,one_sided,0,4,0.0
post_hoc_extension_float32_v4,BDR4,missing_or_unparsed,0,4,0.0
post_hoc_extension_float32_v4,BRD2,equality,2,7,0.2857142857142857
post_hoc_extension_float32_v4,BRD2,range,0,7,0.0
post_hoc_extension_float32_v4,BRD2,one_sided,5,7,0.7142857142857143
post_hoc_extension_float32_v4,BRD2,missing_or_unparsed,0,7,0.0
post_hoc_extension_float32_v4,BRD4,equality,20,35,0.5714285714285714
post_hoc_extension_float32_v4,BRD4,range,1,35,0.0285714285714285
post_hoc_extension_float32_v4,BRD4,one_sided,14,35,0.4
post_hoc_extension_float32_v4,BRD4,missing_or_unparsed,0,35,0.0
post_hoc_extension_float32_v4,BRD9,equality,5,6,0.8333333333333334
post_hoc_extension_float32_v4,BRD9,range,0,6,0.0
post_hoc_extension_float32_v4,BRD9,one_sided,1,6,0.1666666666666666
