table_id,output_file,source_file,n_rows,n_columns,source_size_bytes,source_sha256,source_inventory_sha256,evidence_identity,protocol_version,response_dtype,float32_correction_sha256,fixed_domain_correction_sha256,contains_row_level_records,contains_molecular_structures
portable_context,source_data_extension_portable_context.csv,reports/post_hoc_context_weight_sensitivity_v2/ood_paired_scaffold_bootstrap.csv,12,52,7534,81076dbdd64880639ff76159af9bfde58802e17b4a96def8ac4739e88d0a90fd,6554790882c515632480dfbc6a560ff3d93235111da1990f2a847b4e05ca42d8,post_hoc_extension_float32_v4,post_hoc_context_weight_sensitivity_v2.0,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,not_applicable,False,False
weighting_bootstrap,source_data_extension_weighting_bootstrap.csv,reports/post_hoc_context_weight_sensitivity_v2/internal_paired_scaffold_bootstrap.csv,13,28,6283,899572fbf84b6db3a8b53b8e0ee72fe1f88146d4c5023eb02875674dc227099c,6554790882c515632480dfbc6a560ff3d93235111da1990f2a847b4e05ca42d8,post_hoc_extension_float32_v4,post_hoc_context_weight_sensitivity_v2.0,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,not_applicable,False,False
weighting_diagnostics,source_data_extension_weighting_diagnostics.csv,reports/post_hoc_context_weight_sensitivity_v2/internal_weight_diagnostics.csv,250,7,84583,dfed5f9cbedef1efda85b024e6180d7ad625ca95fb53e8826dd462185c67ab20,6554790882c515632480dfbc6a560ff3d93235111da1990f2a847b4e05ca42d8,post_hoc_extension_float32_v4,post_hoc_context_weight_sensitivity_v2.0,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,not_applicable,False,False
generic_scaffold,source_data_extension_generic_scaffold.csv,reports/post_hoc_scaffold_source_sensitivity_v3/generic_scaffold_paired_cluster_bootstrap.csv,6,14,1207,7172fe2d7c0562d762178c407dbade4765109d39e337e34191487a60a2906df4,55f38a3ba956f2a7979e1bc42ad7149896d3ac1b6b83218192f89cda24fb9cc7,post_hoc_extension_float32_v4,post_hoc_scaffold_source_sensitivity_v3.0,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,not_applicable,False,False
generic_scaffold_groups,source_data_extension_generic_scaffold_groups.csv,reports/post_hoc_scaffold_source_sensitivity_v3/generic_scaffold_group_summary.csv,1,9,304,4729eba3d53de9dc3d2f15ad538c3fc7f2b6abbd1e977a700d8e6d6faed3da23,55f38a3ba956f2a7979e1bc42ad7149896d3ac1b6b83218192f89cda24fb9cc7,post_hoc_extension_float32_v4,post_hoc_scaffold_source_sensitivity_v3.0,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,not_applicable,False,False
source_deletion,source_data_extension_source_deletion.csv,reports/post_hoc_scaffold_source_sensitivity_v3/source_deletion_paired_cluster_bootstrap.csv,254,16,69200,d11d65701dcd61af0667b228d2c6aa15509672c21569007c43093dd65df8206b,55f38a3ba956f2a7979e1bc42ad7149896d3ac1b6b83218192f89cda24fb9cc7,post_hoc_extension_float32_v4,post_hoc_scaffold_source_sensitivity_v3.0,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,not_applicable,False,False
applicability_models,source_data_extension_applicability_models.csv,reports/post_hoc_null_applicability_censoring_v3/applicability_model_metrics.csv,40,26,9040,43a3ece0e82ae58e234297f3934b4cf1490f69bbf1662968dd01a3cf50a566ca,0f51b938d00730eb2b6f3596f180b63a5ab89c2c0f0d216ea584503ec1768e2d,post_hoc_extension_float32_v4,post_hoc_null_applicability_censoring_v3.0,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,9c2d8f90fa546480a37b6e7546cbd9e9a740916325e5dec973f9fa7f8ef899ce,False,False
applicability_domains,source_data_extension_applicability_domains.csv,reports/post_hoc_null_applicability_censoring_v3/applicability_domain_metrics.csv,162,15,23207,a7595fd1600bbd5510dbac7071d9c8b148eae2b58dc17c0f6f4b130dd1fdf28b,0f51b938d00730eb2b6f3596f180b63a5ab89c2c0f0d216ea584503ec1768e2d,post_hoc_extension_float32_v4,post_hoc_null_applicability_censoring_v3.0,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,9c2d8f90fa546480a37b6e7546cbd9e9a740916325e5dec973f9fa7f8ef899ce,False,False
applicability_contrasts,source_data_extension_applicability_contrasts.csv,reports/post_hoc_null_applicability_censoring_v3/applicability_paired_deltas.csv,20,89,29325,aaa9f84734538301b35421099b3db5abb046bfa57106780afc92d09eed433cb3,0f51b938d00730eb2b6f3596f180b63a5ab89c2c0f0d216ea584503ec1768e2d,post_hoc_extension_float32_v4,post_hoc_null_applicability_censoring_v3.0,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,9c2d8f90fa546480a37b6e7546cbd9e9a740916325e5dec973f9fa7f8ef899ce,False,False
permutation_inference,source_data_extension_permutation_inference.csv,reports/post_hoc_null_applicability_censoring_v3/permutation_null_inference.csv,9,12,1672,73d27fa592f73b8b5cc106f84e71d847fd97df862c9733949d19573ce8ea3d86,0f51b938d00730eb2b6f3596f180b63a5ab89c2c0f0d216ea584503ec1768e2d,post_hoc_extension_float32_v4,post_hoc_null_applicability_censoring_v3.0,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,9c2d8f90fa546480a37b6e7546cbd9e9a740916325e5dec973f9fa7f8ef899ce,False,False
