analysis_identity,permutation_id,contrast_id,n_rows,n_repeats,delta_spearman,delta_rmse,delta_mae
post_hoc_extension_float32_v4,1,full_minus_chemistry,1560,5,0.0459435901530055,0.0124583069978175,0.020866537460914
post_hoc_extension_float32_v4,2,full_minus_chemistry,1560,5,0.0570568953862099,0.0200528383094459,0.023558030067346
post_hoc_extension_float32_v4,3,full_minus_chemistry,1560,5,0.0291063117069013,0.0111504091192526,0.0137398092563335
post_hoc_extension_float32_v4,4,full_minus_chemistry,1560,5,0.0434689141716795,0.0132838079555769,0.0162998820573854
post_hoc_extension_float32_v4,5,full_minus_chemistry,1560,5,0.0382907020616248,0.0105702914452819,0.0145041283583031
post_hoc_extension_float32_v4,6,full_minus_chemistry,1560,5,0.0288265826072673,0.0129240833376225,0.0156999419897031
post_hoc_extension_float32_v4,7,full_minus_chemistry,1560,5,0.0425453410865458,0.0188907243431859,0.0208124150985327
post_hoc_extension_float32_v4,8,full_minus_chemistry,1560,5,0.0359378867808427,0.0149394429061759,0.0182840994688179
post_hoc_extension_float32_v4,9,full_minus_chemistry,1560,5,0.0523808722603654,0.0161583459391524,0.0201853182988288
post_hoc_extension_float32_v4,10,full_minus_chemistry,1560,5,0.049742933077384,0.0128301779140587,0.0176563802132239
post_hoc_extension_float32_v4,11,full_minus_chemistry,1560,5,0.0519476893004824,0.0175415842237797,0.0204808386166889
post_hoc_extension_float32_v4,12,full_minus_chemistry,1560,5,0.0471273561605944,0.0142156751169707,0.0184839063424329
post_hoc_extension_float32_v4,13,full_minus_chemistry,1560,5,0.0430150474555561,0.016851858969106,0.019218094899104
post_hoc_extension_float32_v4,14,full_minus_chemistry,1560,5,0.0416731186032985,0.0130398335739589,0.0190772216747968
post_hoc_extension_float32_v4,15,full_minus_chemistry,1560,5,0.0395613621128163,0.0146059059784249,0.0182146914188678
post_hoc_extension_float32_v4,16,full_minus_chemistry,1560,5,0.0272309377498163,0.0156314455618616,0.018937952518463
post_hoc_extension_float32_v4,17,full_minus_chemistry,1560,5,0.0436638396229558,0.0160317950633033,0.0197740408090444
post_hoc_extension_float32_v4,18,full_minus_chemistry,1560,5,0.0471169396241595,0.0180101898632309,0.0192313824555812
post_hoc_extension_float32_v4,19,full_minus_chemistry,1560,5,0.0226322571286355,0.0110831417426489,0.0159891771658875
post_hoc_extension_float32_v4,20,full_minus_chemistry,1560,5,0.0401038841542479,0.0165333716501872,0.0207965855109384
post_hoc_extension_float32_v4,21,full_minus_chemistry,1560,5,0.0306876174628769,0.0180258577322954,0.0220056029466483
post_hoc_extension_float32_v4,22,full_minus_chemistry,1560,5,0.0385903986063959,0.0182931914931185,0.0168392881368979
post_hoc_extension_float32_v4,23,full_minus_chemistry,1560,5,0.0501081140935992,0.0164013286419809,0.018361250559489
post_hoc_extension_float32_v4,24,full_minus_chemistry,1560,5,0.0418900158192175,0.0187835909500734,0.0189287700408544
post_hoc_extension_float32_v4,25,full_minus_chemistry,1560,5,0.0487587776475347,0.0196185710633197,0.0205906309836951
post_hoc_extension_float32_v4,26,full_minus_chemistry,1560,5,0.0364816555931705,0.0147091873096301,0.0173141629267961
