analysis_identity,record_type,protocol,model_id,cluster_unit,n_clusters,n_domains,n_bootstrap,domain_macro_spearman_observed,domain_macro_spearman_bootstrap_mean,domain_macro_spearman_ci_low,domain_macro_spearman_ci_high,domain_macro_spearman_n_valid,domain_macro_rmse_observed,domain_macro_rmse_bootstrap_mean,domain_macro_rmse_ci_low,domain_macro_rmse_ci_high,domain_macro_rmse_n_valid,pooled_spearman_observed,pooled_spearman_bootstrap_mean,pooled_spearman_ci_low,pooled_spearman_ci_high,pooled_spearman_n_valid,pooled_rmse_observed,pooled_rmse_bootstrap_mean,pooled_rmse_ci_low,pooled_rmse_ci_high,pooled_rmse_n_valid,contrast_id,first_model,comparator_model,delta_direction,delta_domain_macro_spearman_observed,delta_domain_macro_spearman_bootstrap_mean,delta_domain_macro_spearman_ci_low,delta_domain_macro_spearman_ci_high,delta_domain_macro_spearman_n_valid,delta_domain_macro_rmse_observed,delta_domain_macro_rmse_bootstrap_mean,delta_domain_macro_rmse_ci_low,delta_domain_macro_rmse_ci_high,delta_domain_macro_rmse_n_valid,delta_pooled_spearman_observed,delta_pooled_spearman_bootstrap_mean,delta_pooled_spearman_ci_low,delta_pooled_spearman_ci_high,delta_pooled_spearman_n_valid,delta_pooled_rmse_observed,delta_pooled_rmse_bootstrap_mean,delta_pooled_rmse_ci_low,delta_pooled_rmse_ci_high,delta_pooled_rmse_n_valid
post_hoc_extension_float32_v4,model,source_ood,chemistry_extra_trees,global scaffold_id,667,4,10000,0.2371977038513962,0.2226238232687488,0.129389073682278,0.3019817874440358,10000.0,0.9876196256866216,0.9841481554355284,0.9154079842942362,1.0495907414971557,10000.0,0.155152518136542,0.1541634827131931,0.0594262605290481,0.2467874220462178,10000.0,1.00982483189439,1.008516839227508,0.9483966187727656,1.0679527731610938,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
post_hoc_extension_float32_v4,model,source_ood,full_context_extra_trees,global scaffold_id,667,4,10000,0.1507862686082981,0.1442304366095176,0.0285261536746614,0.2477662739336169,10000.0,0.9891927114025668,0.9864431310384094,0.9226836582988271,1.0474065184018644,10000.0,0.1578432936460824,0.155890182470011,0.0609487919731628,0.2442615880511177,10000.0,0.9913089400140794,0.9903416229105264,0.9338800029556108,1.0447465327557008,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
post_hoc_extension_float32_v4,model,source_ood,portable_full_extra_trees,global scaffold_id,667,4,10000,0.1290215259800199,0.1247446533562407,0.009780707193228,0.228538621917893,10000.0,0.9976500912359164,0.9949886236935636,0.9311733068264166,1.0553980107757983,10000.0,0.1338201790953925,0.1322260187609707,0.0417904438714182,0.220271104199834,10000.0,1.0011425416216733,1.000098937059331,0.942619960943032,1.0545255835081315,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
post_hoc_extension_float32_v4,contrast,source_ood,,global scaffold_id,667,4,10000,,,,,,,,,,,,,,,,,,,,,portable_vs_chemistry,portable_full_extra_trees,chemistry_extra_trees,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,-0.1081761778713762,-0.097879169912508,-0.1764554423140781,-0.0251321950914917,10000.0,-0.0100304655492948,-0.0108404682580353,-0.0456040014841755,0.0191838314989554,10000.0,-0.0213323390411495,-0.0219374639522223,-0.071492355678701,0.023944782301522,10000.0,0.0086822902727168,0.0084179021681767,-0.0177455644001283,0.0327798101784731,10000.0
post_hoc_extension_float32_v4,contrast,source_ood,,global scaffold_id,667,4,10000,,,,,,,,,,,,,,,,,,,,,full_vs_chemistry,full_context_extra_trees,chemistry_extra_trees,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,-0.086411435243098,-0.0783933866592311,-0.1535553849336963,-0.0111182579127941,10000.0,-0.0015730857159452,-0.0022949756028811,-0.0336452135961518,0.0250303145403667,10000.0,0.0026907755095404,0.0017266997568179,-0.051513602081343,0.0560258479694244,10000.0,0.0185158918803106,0.0181752163169809,-0.0082712405233178,0.0444540772740816,10000.0
post_hoc_extension_float32_v4,contrast,source_ood,,global scaffold_id,667,4,10000,,,,,,,,,,,,,,,,,,,,,portable_vs_full,portable_full_extra_trees,full_context_extra_trees,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,-0.0217647426282782,-0.0194857832532769,-0.0380359183673055,-0.0013629630039175,10000.0,-0.0084573798333495,-0.0085454926551542,-0.0144905252390525,-0.0029369141257799,10000.0,-0.0240231145506899,-0.0236641637090403,-0.0447904071307097,-0.0059289112650478,10000.0,-0.0098336016075938,-0.0097573141488042,-0.0155210034453994,-0.0045828642496541,10000.0
post_hoc_extension_float32_v4,model,target_ood,chemistry_extra_trees,global scaffold_id,601,8,10000,0.1175179761203821,0.1196746539512821,0.0203324895874731,0.219246368879466,10000.0,0.8786250732025195,0.8728254483291672,0.8199833710654737,0.9218113402272864,10000.0,0.1823815205119482,0.1797049847536898,0.0593384805816163,0.2946947402054075,10000.0,0.9363252423579072,0.9347755287950787,0.8722393700755278,1.002333764250786,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
post_hoc_extension_float32_v4,model,target_ood,full_context_extra_trees,global scaffold_id,601,8,10000,0.0516817057724172,0.0524510276878759,-0.0451236567067274,0.1542034626430291,10000.0,0.8862004940771482,0.880060358801955,0.8275748511183716,0.9283507613700216,10000.0,0.1281932015927282,0.1258501842645097,9.041021609081462e-05,0.2474405380355577,10000.0,0.9469712146547672,0.9453412132448692,0.8779880580470674,1.0164212056366662,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
post_hoc_extension_float32_v4,model,target_ood,portable_full_extra_trees,global scaffold_id,601,8,10000,0.0663390860979614,0.0687885918491855,-0.0297870029014078,0.1699800493481573,10000.0,0.8903782984948436,0.8843696961014959,0.8314935459716035,0.9327119856693444,10000.0,0.1449813934327132,0.1424989264243284,0.0210673517658117,0.2603182816184118,10000.0,0.9454226377172908,0.9438332670625816,0.8800813229303506,1.0120805450941666,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
post_hoc_extension_float32_v4,contrast,target_ood,,global scaffold_id,601,8,10000,,,,,,,,,,,,,,,,,,,,,portable_vs_chemistry,portable_full_extra_trees,chemistry_extra_trees,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,-0.0511788900224206,-0.0508860621020965,-0.0925921710067837,-0.0089891563234769,10000.0,-0.0117532252923241,-0.0115442477723287,-0.0177286241134028,-0.005204956525316,10000.0,-0.037400127079235,-0.0372060583293614,-0.061754237298058,-0.0156208310961046,10000.0,-0.0090973953593834,-0.009057738267503,-0.014596647559369,-0.003847637283551,10000.0
post_hoc_extension_float32_v4,contrast,target_ood,,global scaffold_id,601,8,10000,,,,,,,,,,,,,,,,,,,,,full_vs_chemistry,full_context_extra_trees,chemistry_extra_trees,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,-0.0658362703479648,-0.0672236262634062,-0.1311627575250344,-0.0069582672379213,10000.0,-0.0075754208746287,-0.0072349104727878,-0.0176911613196703,0.0027941756339736,10000.0,-0.05418831891922,-0.05385480048918,-0.0950952039054097,-0.0119424890254403,10000.0,-0.0106459722968599,-0.0105656844497901,-0.0183318854655261,-0.0022464769738776,10000.0
post_hoc_extension_float32_v4,contrast,target_ood,,global scaffold_id,601,8,10000,,,,,,,,,,,,,,,,,,,,,portable_vs_full,portable_full_extra_trees,full_context_extra_trees,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,0.0146573803255441,0.0163375641613096,-0.0367824233863097,0.0717981252857318,10000.0,-0.0041778044176954,-0.0043093372995408,-0.0140931033615615,0.0051900906006129,10000.0,0.0167881918399849,0.0166487421598186,-0.0191877454294117,0.0504721946515344,10000.0,0.0015485769374764,0.0015079461822871,-0.0061951609135982,0.0084176498729595,10000.0
