analysis_identity,record_type,protocol,model_id,cluster_unit,n_clusters,n_bootstrap,spearman_observed,spearman_bootstrap_mean,spearman_ci_low,spearman_ci_high,rmse_observed,rmse_bootstrap_mean,rmse_ci_low,rmse_ci_high,reference_model,delta_direction,delta_spearman_observed,delta_spearman_mean,delta_spearman_ci_low,delta_spearman_ci_high,delta_rmse_observed,delta_rmse_mean,delta_rmse_ci_low,delta_rmse_ci_high,contrast_id,first_model,comparator_model
post_hoc_extension_float32_v4,model,scaffold,chemistry_extra_trees__uniform,scaffold_id,667,10000,0.5660722533638645,0.5632839270359005,0.4733794807153289,0.6480130899450299,0.8319358549666609,0.830460825599843,0.7590540900440754,0.9040634092512204,full_context_extra_trees__uniform,delta_spearman=reference-model; delta_rmse=model-reference; positive favors reference,0.0548820600507361,0.0548415916072565,0.023199923198169,0.0938603175610759,0.0402348037358574,0.0401630739280372,0.0247053702736855,0.0566940602083654,,,
post_hoc_extension_float32_v4,model,scaffold,full_context_extra_trees__uniform,scaffold_id,667,10000,0.6209543134146006,0.6181255186431569,0.5403926199294384,0.691181472930446,0.7917010512308035,0.7902977516718057,0.7216131805637466,0.8602933580678466,full_context_extra_trees__uniform,delta_spearman=reference-model; delta_rmse=model-reference; positive favors reference,,,,,,,,,,,
post_hoc_extension_float32_v4,model,scaffold,chemistry_extra_trees__compound_equal,scaffold_id,667,10000,0.568716579007752,0.5659313906798618,0.4760381138665054,0.651028210667127,0.8313608746714086,0.8298959095923679,0.7574796417902754,0.9037577245295838,full_context_extra_trees__uniform,delta_spearman=reference-model; delta_rmse=model-reference; positive favors reference,0.0522377344068486,0.0521941279632951,0.0214183417223966,0.0891216787351825,0.0396598234406051,0.0395981579205621,0.0238411189605303,0.056535290326998,,,
post_hoc_extension_float32_v4,model,scaffold,full_context_extra_trees__compound_equal,scaffold_id,667,10000,0.6202010630241968,0.6174744804495922,0.5395862121768698,0.690309735523166,0.793471244248044,0.7920231143196134,0.7224544092755029,0.8628315731973331,full_context_extra_trees__uniform,delta_spearman=reference-model; delta_rmse=model-reference; positive favors reference,0.0007532503904038,0.0006510381935647,-0.0037036205908633,0.0049788083960889,0.0017701930172405,0.0017253626478075,-0.0009862553888566,0.0042983485434645,,,
post_hoc_extension_float32_v4,model,scaffold,chemistry_extra_trees__domain_balanced_clipped,scaffold_id,667,10000,0.5730326566545124,0.5699262836295289,0.4821245440351167,0.6534720273961202,0.8254760029094429,0.8241976147126377,0.756037947616054,0.8924713928264459,full_context_extra_trees__uniform,delta_spearman=reference-model; delta_rmse=model-reference; positive favors reference,0.0479216567600881,0.0481992350136279,0.0160130156589869,0.0866596049460658,0.0337749516786394,0.0338998630408319,0.0163875436514897,0.0527258725754921,,,
post_hoc_extension_float32_v4,model,scaffold,full_context_extra_trees__domain_balanced_clipped,scaffold_id,667,10000,0.6226912287070822,0.6199031841283933,0.5440685480037484,0.6913478750753839,0.7897445762550384,0.7884405392251705,0.7221815444718218,0.8559215550292311,full_context_extra_trees__uniform,delta_spearman=reference-model; delta_rmse=model-reference; positive favors reference,-0.0017369152924815,-0.0017776654852364,-0.016199947108366,0.0120848986668945,-0.0019564749757651,-0.0018572124466352,-0.0106387256886923,0.0052478865691597,,,
post_hoc_extension_float32_v4,contrast,scaffold,,scaffold_id,667,10000,,,,,,,,,,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,0.0548820600507361,0.0548415916072565,0.023199923198169,0.0938603175610759,0.0402348037358574,0.0401630739280372,0.0247053702736855,0.0566940602083654,uniform_full_vs_chemistry,full_context_extra_trees__uniform,chemistry_extra_trees__uniform
post_hoc_extension_float32_v4,contrast,scaffold,,scaffold_id,667,10000,,,,,,,,,,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,0.0514844840164447,0.0515430897697303,0.0221381072871914,0.086907671779054,0.0378896304233645,0.0378727952727546,0.0228073656833136,0.0543432374235122,compound_equal_full_vs_chemistry,full_context_extra_trees__compound_equal,chemistry_extra_trees__compound_equal
post_hoc_extension_float32_v4,contrast,scaffold,,scaffold_id,667,10000,,,,,,,,,,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,0.0496585720525697,0.0499769004988644,0.0233778404674147,0.082474777478552,0.0357314266544045,0.0357570754874672,0.0213629528331109,0.0517322477813565,domain_balanced_full_vs_chemistry,full_context_extra_trees__domain_balanced_clipped,chemistry_extra_trees__domain_balanced_clipped
post_hoc_extension_float32_v4,contrast,scaffold,,scaffold_id,667,10000,,,,,,,,,,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,0.0026443256438875,0.0026474636439614,-0.0043828384211223,0.0100161659648,0.0005749802952522,0.0005649160074751,-0.0030957707189156,0.0041528324677404,chemistry_compound_equal_vs_uniform,chemistry_extra_trees__compound_equal,chemistry_extra_trees__uniform
post_hoc_extension_float32_v4,contrast,scaffold,,scaffold_id,667,10000,,,,,,,,,,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,-0.0007532503904038,-0.0006510381935647,-0.0049788083960889,0.0037036205908633,-0.0017701930172405,-0.0017253626478075,-0.0042983485434645,0.0009862553888566,full_compound_equal_vs_uniform,full_context_extra_trees__compound_equal,full_context_extra_trees__uniform
post_hoc_extension_float32_v4,contrast,scaffold,,scaffold_id,667,10000,,,,,,,,,,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,0.0069604032906479,0.0066423565936285,-0.0094216768997076,0.0228181135717349,0.0064598520572179,0.0062632108872053,-0.0031082001765661,0.016128239356452,chemistry_domain_balanced_vs_uniform,chemistry_extra_trees__domain_balanced_clipped,chemistry_extra_trees__uniform
post_hoc_extension_float32_v4,contrast,scaffold,,scaffold_id,667,10000,,,,,,,,,,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,0.0017369152924815,0.0017776654852364,-0.0120848986668945,0.016199947108366,0.0019564749757651,0.0018572124466352,-0.0052478865691597,0.0106387256886923,full_domain_balanced_vs_uniform,full_context_extra_trees__domain_balanced_clipped,full_context_extra_trees__uniform
