analysis_identity,weight_mode,fit_stage,n_fit_rows,clipping_fraction,effective_sample_size,effective_sample_fraction
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,802.7637300692546,0.8576535577662977
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0331196581196581,164.51225108248775,0.1757609520112048
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,794.6011183597388,0.8489328187604047
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0309829059829059,169.51773268248436,0.181108688763338
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,799.2898516706924,0.8539421492208252
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0395299145299145,162.59980450159244,0.1737177398521286
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,812.6318758815229,0.8681964485913706
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0299145299145299,170.70251250813715,0.1823744791753602
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1069.7350407848955,0.8571594878084099
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0256410256410256,217.08445013167315,0.1739458735029432
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,777.7381748455134,0.8309168534674288
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0363247863247863,161.38749957884127,0.1724225422850868
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,785.8507593012864,0.8395841445526564
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0277777777777777,183.90073224584927,0.1964751412883005
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,786.5016539295084,0.8402795447964834
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0277777777777777,177.93257630591864,0.1900989063097421
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,781.3972575969777,0.834826129911301
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0341880341880341,166.86930013997048,0.1782791668162077
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1043.7925694230194,0.8363722511402398
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0232371794871794,226.8663842190043,0.1817839617139457
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,793.4344080992706,0.8476863334393917
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0267094017094017,174.2706740947514,0.1861866176225976
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,776.0959873921131,0.8291623796924286
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0331196581196581,166.7200362474848,0.1781196968456034
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,790.8385315594678,0.8449129610678074
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0341880341880341,170.3324431783922,0.1819791059598207
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,785.9515903912453,0.8396918700761168
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.032051282051282,174.6007538443145,0.1865392669276864
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1048.691054194949,0.8402973190664655
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0248397435897435,225.2013095947542,0.1804497673034889
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,778.0453285189243,0.8312450091014149
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0363247863247863,162.63745497984397,0.1737579647220555
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,770.0651162790697,0.8227191413237924
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0384615384615384,165.3570084223076,0.1766634705366534
