analysis_label,record_type,split_regime,protocol,model_id,n_clusters,n_bootstrap,spearman_observed,spearman_ci_low,spearman_ci_high,rmse_observed,rmse_ci_low,rmse_ci_high,contrast_id,first_model,comparator_model,delta_spearman_observed,delta_spearman_ci_low,delta_spearman_ci_high,delta_rmse_observed,delta_rmse_ci_low,delta_rmse_ci_high,n_domains,domain_macro_spearman_observed,domain_macro_spearman_ci_low,domain_macro_spearman_ci_high,domain_macro_spearman_n_valid,domain_macro_rmse_observed,domain_macro_rmse_ci_low,domain_macro_rmse_ci_high,domain_macro_rmse_n_valid,pooled_spearman_observed,pooled_rmse_observed,delta_domain_macro_spearman_observed,delta_domain_macro_spearman_ci_low,delta_domain_macro_spearman_ci_high,delta_domain_macro_spearman_n_valid,delta_domain_macro_rmse_observed,delta_domain_macro_rmse_ci_low,delta_domain_macro_rmse_ci_high,delta_domain_macro_rmse_n_valid
post_hoc_graph_model_family_sensitivity,model,internal,scaffold,chemistry_graph_mpn,667,10000,0.4223783109129262,0.310897299575145,0.5357055207912478,0.9251959994840366,0.8348233917275155,1.0194745824396811,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post_hoc_graph_model_family_sensitivity,model,internal,scaffold,full_context_graph_mpn,667,10000,0.5264431994554561,0.4404832973527076,0.6104723309802865,0.8659330023307171,0.7824881825212958,0.9499383757368416,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post_hoc_graph_model_family_sensitivity,contrast,internal,scaffold,,667,10000,,,,,,,full_vs_chemistry_graph_mpn,full_context_graph_mpn,chemistry_graph_mpn,0.1040648885425299,0.0410254697544703,0.1679146098343191,0.0592629971533195,0.0250941432730295,0.0905528197174867,,,,,,,,,,,,,,,,,,,
post_hoc_graph_model_family_sensitivity,model,domain_plus_compound_cold,source_ood,chemistry_graph_mpn,667,10000,,,,,,,,,,,,,,,,4.0,0.055706112212825,-0.0320915151575482,0.1659836403144146,10000.0,1.1923498087569535,1.1083553899783194,1.2581872894107349,10000.0,0.0055067593880997,1.232819683775635,,,,,,,,
post_hoc_graph_model_family_sensitivity,model,domain_plus_compound_cold,source_ood,full_context_graph_mpn,667,10000,,,,,,,,,,,,,,,,4.0,-0.1687243774759594,-0.2554661832753071,-0.0572671789484176,10000.0,1.136397957399203,1.0233281433422157,1.2288815909410693,10000.0,-0.0669010685189534,1.1116836520966062,,,,,,,,
post_hoc_graph_model_family_sensitivity,contrast,domain_plus_compound_cold,source_ood,,667,10000,,,,,,,full_vs_chemistry_graph_mpn,full_context_graph_mpn,chemistry_graph_mpn,,,,,,,4.0,,,,,,,,,,,-0.2244304896887845,-0.3573499578365807,-0.0907742624164573,10000.0,0.055951851357751,-0.0250358974210618,0.137504787187092,10000.0
post_hoc_graph_model_family_sensitivity,model,domain_plus_compound_cold,target_ood,chemistry_graph_mpn,601,10000,,,,,,,,,,,,,,,,8.0,0.0325026128323625,-0.070169216058741,0.1243203966825469,10000.0,1.041208224372128,0.9693663543549852,1.1008127360445092,10000.0,0.0645567800170692,1.1425064881822224,,,,,,,,
post_hoc_graph_model_family_sensitivity,model,domain_plus_compound_cold,target_ood,full_context_graph_mpn,601,10000,,,,,,,,,,,,,,,,8.0,-0.0867318038011439,-0.1685700960369485,0.0047005354080281,10000.0,1.0634632608342998,0.9887709016356916,1.1142112595329745,10000.0,-0.0462967086517717,1.1023097873593215,,,,,,,,
post_hoc_graph_model_family_sensitivity,contrast,domain_plus_compound_cold,target_ood,,601,10000,,,,,,,full_vs_chemistry_graph_mpn,full_context_graph_mpn,chemistry_graph_mpn,,,,,,,8.0,,,,,,,,,,,-0.1192344166335065,-0.2222641065565766,-0.0020082340976831,10000.0,-0.0222550364621716,-0.0727571165193087,0.0326622573933478,10000.0
post_hoc_graph_model_family_sensitivity,model,strict_domain_plus_scaffold_cold,source_ood,chemistry_graph_mpn,667,10000,,,,,,,,,,,,,,,,4.0,0.0101304753453799,-0.088044794085988,0.114249973439976,10000.0,1.1810630829713764,1.0503751650786726,1.28569031183514,10000.0,-0.090159048800773,1.214556873682879,,,,,,,,
post_hoc_graph_model_family_sensitivity,model,strict_domain_plus_scaffold_cold,source_ood,full_context_graph_mpn,667,10000,,,,,,,,,,,,,,,,4.0,-0.1158726237547812,-0.2031107382231844,-0.0008286129586081,10000.0,1.1486087828916307,1.0469056775424097,1.228951864133535,10000.0,-0.1183463393310089,1.1264710250836452,,,,,,,,
post_hoc_graph_model_family_sensitivity,contrast,strict_domain_plus_scaffold_cold,source_ood,,667,10000,,,,,,,full_vs_chemistry_graph_mpn,full_context_graph_mpn,chemistry_graph_mpn,,,,,,,4.0,,,,,,,,,,,-0.1260030991001611,-0.2120171943432197,-0.023777893773985,10000.0,0.0324543000797457,-0.0272009830847879,0.0938261559605127,10000.0
post_hoc_graph_model_family_sensitivity,model,strict_domain_plus_scaffold_cold,target_ood,chemistry_graph_mpn,601,10000,,,,,,,,,,,,,,,,8.0,0.0422278892546291,-0.0513714138474289,0.1373553934281752,10000.0,1.0546909122948744,0.978238682054774,1.1172706742687015,10000.0,0.0366407926985806,1.1118151391781963,,,,,,,,
post_hoc_graph_model_family_sensitivity,model,strict_domain_plus_scaffold_cold,target_ood,full_context_graph_mpn,601,10000,,,,,,,,,,,,,,,,8.0,-0.0427607222737231,-0.1175937999234415,0.0407401052427122,10000.0,1.0272910824396515,0.9592786363962832,1.0747679049010563,10000.0,-0.0261922233519845,1.1336111900691412,,,,,,,,
post_hoc_graph_model_family_sensitivity,contrast,strict_domain_plus_scaffold_cold,target_ood,,601,10000,,,,,,,full_vs_chemistry_graph_mpn,full_context_graph_mpn,chemistry_graph_mpn,,,,,,,8.0,,,,,,,,,,,-0.0849886115283522,-0.179884798911179,0.0233167014386439,10000.0,0.0273998298552227,-0.0297643877186979,0.0881767073799083,10000.0
