axis,validation_regime,model_id,context_group,n_domains,n_rows,n_scaffolds,delta_domain_macro_spearman_observed,delta_domain_macro_spearman_bootstrap_mean,delta_domain_macro_spearman_ci_low,delta_domain_macro_spearman_ci_high,delta_domain_macro_spearman_n_valid
source,internal,chemistry_plus_provenance,Provenance,4,1520,667,0.023912184507410172,0.024376633425255773,0.0036008783777029627,0.04713559034674433,10000
source,internal,chemistry_plus_biological_assay,Biological/assay,4,1520,667,0.030429248675956533,0.03065183537730917,0.005156781600673949,0.05811058423279479,10000
source,internal,chemistry_plus_missingness,Missingness,4,1520,667,0.0008665726969545595,0.0005808376241786454,-0.013679237692718981,0.015654838192913932,10000
source,internal,full_context_extra_trees,Full context,4,1520,667,0.03672590292883182,0.03718701258947702,0.010153999185493123,0.06612909060799106,10000
source,ood,chemistry_plus_biological_assay,Biological/assay,4,1520,667,-0.07850684576361211,-0.07334211520185162,-0.15517871978785802,-0.01021725580125793,10000
source,ood,chemistry_plus_missingness,Missingness,4,1520,667,0.02476542000771101,0.02630157903598722,-0.013860347935554585,0.0654558453740954,10000
source,ood,full_context_extra_trees,Full context,4,1520,667,-0.08641143524309808,-0.07792703034575447,-0.15265852603260682,-0.009861822891150293,10000
target,internal,chemistry_plus_provenance,Provenance,8,1290,601,0.023178445125907332,0.01596649415606421,-0.028518739336516895,0.05727220720308973,10000
target,internal,chemistry_plus_biological_assay,Biological/assay,8,1290,601,0.030489227136755892,0.023837050047628854,-0.02159749162576477,0.06658649373474462,10000
target,internal,chemistry_plus_missingness,Missingness,8,1290,601,-0.013017093839487848,-0.012059000510478443,-0.035338426662505244,0.008608892332396399,10000
target,internal,full_context_extra_trees,Full context,8,1290,601,0.036168628064481345,0.02927040126700034,-0.01840857892012184,0.07357912845445802,10000
target,ood,chemistry_plus_provenance,Provenance,8,1290,601,-0.020348502601252053,-0.020060610604463094,-0.059462520902153544,0.01642108014263631,10000
target,ood,chemistry_plus_biological_assay,Biological/assay,8,1290,601,-0.048093419421116806,-0.04787878641792716,-0.11517077516752736,0.01675939049761376,10000
target,ood,chemistry_plus_missingness,Missingness,8,1290,601,-0.053516432913604764,-0.0508375531364969,-0.09196910639072788,-0.011458247820633443,10000
target,ood,full_context_extra_trees,Full context,8,1290,601,-0.06583627034796481,-0.0667276041330952,-0.13118302351579045,-0.004853095677885134,10000
