axis,validation_regime,domain,model_id,context_group,n_rows,n_compounds,n_scaffolds,delta_spearman_observed,delta_spearman_ci_low,delta_spearman_ci_high,delta_spearman_n_valid
source,internal,MGTbind,chemistry_plus_provenance,Provenance,755,664,394,0.03851510970402405,-0.002997149223762688,0.09144867067890335,10000
source,internal,MGDB,chemistry_plus_provenance,Provenance,357,340,205,0.007533133210984144,-0.01392007657590907,0.03113776821972716,10000
source,internal,MolGlueDB,chemistry_plus_provenance,Provenance,289,247,144,0.024142729289435394,-0.00878030681151815,0.05518824917240482,10000
source,internal,TPDdb,chemistry_plus_provenance,Provenance,119,118,58,0.025457765825196543,-0.010722986180190632,0.07469167851895055,10000
source,internal,MGTbind,chemistry_plus_biological_assay,Biological/assay,755,664,394,0.050561620867808466,0.005545170389602863,0.11143413638908185,10000
source,internal,MGDB,chemistry_plus_biological_assay,Biological/assay,357,340,205,0.004241705304179111,-0.01904184566912988,0.031199374208122615,10000
source,internal,MolGlueDB,chemistry_plus_biological_assay,Biological/assay,289,247,144,0.040092855224654556,-0.0024318649013526667,0.085214948297011,10000
source,internal,TPDdb,chemistry_plus_biological_assay,Biological/assay,119,118,58,0.026820813307183333,-0.030266837859935683,0.08693651336087216,10000
source,internal,MGTbind,chemistry_plus_missingness,Missingness,755,664,394,0.003455113761312245,-0.010793270539037966,0.0221578013875038,10000
source,internal,MGDB,chemistry_plus_missingness,Missingness,357,340,205,-0.0029635286829287066,-0.02212056415503517,0.014749686198218094,10000
source,internal,MolGlueDB,chemistry_plus_missingness,Missingness,289,247,144,0.004595425375093276,-0.01549261607288717,0.023235618099086006,10000
source,internal,TPDdb,chemistry_plus_missingness,Missingness,119,118,58,-0.0016207196656589096,-0.040679380740142435,0.03775886555077448,10000
source,internal,MGTbind,full_context_extra_trees,Full context,755,664,394,0.049312459452476975,0.0025859116594811717,0.11211906234823033,10000
source,internal,MGDB,full_context_extra_trees,Full context,357,340,205,0.017168053082353696,-0.005058386792163563,0.04419501190036373,10000
source,internal,MolGlueDB,full_context_extra_trees,Full context,289,247,144,0.038271373737369885,-0.005078088758198887,0.08347630225995771,10000
source,internal,TPDdb,full_context_extra_trees,Full context,119,118,58,0.04215172544312651,-0.02223175770951164,0.11602111904533413,10000
source,ood,MGTbind,chemistry_plus_biological_assay,Biological/assay,755,664,394,-0.008342848680306617,-0.05198486325340359,0.03670212671661197,10000
source,ood,MGDB,chemistry_plus_biological_assay,Biological/assay,357,340,205,-0.018016735607388347,-0.06638889744385737,0.02797258266368284,10000
source,ood,MolGlueDB,chemistry_plus_biological_assay,Biological/assay,289,247,144,0.06082254956235089,-0.0733029478297327,0.17681301055452447,10000
source,ood,TPDdb,chemistry_plus_biological_assay,Biological/assay,119,118,58,-0.3484903483291044,-0.6421114401557221,-0.12125490436079629,10000
source,ood,MGTbind,chemistry_plus_missingness,Missingness,755,664,394,0.0055209373958056696,-0.016880292185027203,0.03062744930539188,10000
source,ood,MGDB,chemistry_plus_missingness,Missingness,357,340,205,0.02232975422791851,-0.013956584470068725,0.05851197521712941,10000
source,ood,MolGlueDB,chemistry_plus_missingness,Missingness,289,247,144,0.03252031366341129,-0.0815889192856192,0.1278349274159061,10000
source,ood,TPDdb,chemistry_plus_missingness,Missingness,119,118,58,0.038690674743708686,-0.07433732575272102,0.17481477698635695,10000
source,ood,MGTbind,full_context_extra_trees,Full context,755,664,394,0.03945802911156235,-0.017887193561635765,0.11283096778534274,10000
source,ood,MGDB,full_context_extra_trees,Full context,357,340,205,0.01393154980957462,-0.03513122322650656,0.06304250670321487,10000
source,ood,MolGlueDB,full_context_extra_trees,Full context,289,247,144,0.04411599264146088,-0.07909451663332778,0.15596285980796784,10000
source,ood,TPDdb,full_context_extra_trees,Full context,119,118,58,-0.4431513125349902,-0.6809568691961835,-0.174002598426459,10000
target,internal,VAV1,chemistry_plus_provenance,Provenance,455,404,230,0.03090417749672203,0.00038305631022691626,0.06778655885518853,10000
target,internal,CSNK1A1,chemistry_plus_provenance,Provenance,159,139,68,0.0741999507064573,-0.04099918549312969,0.19087759588767306,10000
target,internal,GSPT1,chemistry_plus_provenance,Provenance,154,106,74,0.025735845203489816,-0.0068366927340159835,0.06784041243502605,10000
target,internal,WIZ,chemistry_plus_provenance,Provenance,150,123,47,-0.014195879651451748,-0.07372555084484464,0.037719337059125134,10000
target,internal,CDK2,chemistry_plus_provenance,Provenance,145,145,102,-0.028912940361905892,-0.05795757546421023,-0.0008477883775747693,10000
target,internal,CCNK+CDK12,chemistry_plus_provenance,Provenance,86,73,52,-0.0012325505007076965,-0.0677121016679579,0.062349274416506006,10000
target,internal,IKZF2,chemistry_plus_provenance,Provenance,76,65,32,0.07270552243152745,-0.34451847226119975,0.3330809747752747,10000
target,internal,IKZF1,chemistry_plus_provenance,Provenance,65,60,34,0.0262234356831271,-0.09172678916417777,0.13793975584733,10000
target,internal,VAV1,chemistry_plus_biological_assay,Biological/assay,455,404,230,0.03385332785310302,0.0014118241557149803,0.07430338044796707,10000
target,internal,CSNK1A1,chemistry_plus_biological_assay,Biological/assay,159,139,68,0.07133191210874362,-0.05825324281826902,0.21139089483074142,10000
target,internal,GSPT1,chemistry_plus_biological_assay,Biological/assay,154,106,74,0.03927232423888405,-0.011402224517003448,0.10889057657838318,10000
target,internal,WIZ,chemistry_plus_biological_assay,Biological/assay,150,123,47,-0.009025785538090969,-0.0710418294902604,0.05061127501616166,10000
target,internal,CDK2,chemistry_plus_biological_assay,Biological/assay,145,145,102,-0.02905071475437243,-0.06019031631229875,0.0018852945468119044,10000
target,internal,CCNK+CDK12,chemistry_plus_biological_assay,Biological/assay,86,73,52,-0.00917528930754219,-0.07558480340599372,0.06102901385778261,10000
target,internal,IKZF2,chemistry_plus_biological_assay,Biological/assay,76,65,32,0.14369645346925863,-0.25724131760306074,0.40469247291308785,10000
target,internal,IKZF1,chemistry_plus_biological_assay,Biological/assay,65,60,34,0.0030115890240636767,-0.13511533998751094,0.11601782086404129,10000
target,internal,VAV1,chemistry_plus_missingness,Missingness,455,404,230,0.013617320273252798,-0.014609017273680688,0.04811681897126686,10000
target,internal,CSNK1A1,chemistry_plus_missingness,Missingness,159,139,68,0.03059573129328802,-0.02620682675561507,0.11822228205662116,10000
