analysis_label,record_type,split_regime,protocol,model_id,n_clusters,n_bootstrap,spearman_observed,spearman_ci_low,spearman_ci_high,rmse_observed,rmse_ci_low,rmse_ci_high,contrast_id,first_model,comparator_model,delta_spearman_observed,delta_spearman_ci_low,delta_spearman_ci_high,delta_rmse_observed,delta_rmse_ci_low,delta_rmse_ci_high,n_domains,domain_macro_spearman_observed,domain_macro_spearman_ci_low,domain_macro_spearman_ci_high,domain_macro_spearman_n_valid,domain_macro_rmse_observed,domain_macro_rmse_ci_low,domain_macro_rmse_ci_high,domain_macro_rmse_n_valid,pooled_spearman_observed,pooled_rmse_observed,delta_domain_macro_spearman_observed,delta_domain_macro_spearman_ci_low,delta_domain_macro_spearman_ci_high,delta_domain_macro_spearman_n_valid,delta_domain_macro_rmse_observed,delta_domain_macro_rmse_ci_low,delta_domain_macro_rmse_ci_high,delta_domain_macro_rmse_n_valid
post_hoc_model_family_sensitivity,model,internal,scaffold,chemistry_hist_gradient_boosting,667,10000,0.5392150579359852,0.4377496422945557,0.6321839618190253,0.8508907753393119,0.7763903894141693,0.9273183836945756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post_hoc_model_family_sensitivity,model,internal,scaffold,full_context_hist_gradient_boosting,667,10000,0.5596418466247461,0.4670372216269399,0.6463774547183394,0.838475753214468,0.7646186780936891,0.9167782999909938,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post_hoc_model_family_sensitivity,contrast,internal,scaffold,,667,10000,,,,,,,full_vs_chemistry_hist_gradient_boosting,full_context_hist_gradient_boosting,chemistry_hist_gradient_boosting,0.0204267886887609,0.0033398936349072,0.0411894517485173,0.0124150221248439,0.0029581447691064,0.0221412041954029,,,,,,,,,,,,,,,,,,,
post_hoc_model_family_sensitivity,model,domain_plus_compound_cold,source_ood,chemistry_hist_gradient_boosting,667,10000,,,,,,,,,,,,,,,,4.0,0.2328310034540881,0.1166012013911467,0.3055991157961196,10000.0,1.025994624493289,0.9541301478197556,1.093801258219152,10000.0,0.1431566231975034,1.081399488315368,,,,,,,,
post_hoc_model_family_sensitivity,model,domain_plus_compound_cold,source_ood,full_context_hist_gradient_boosting,667,10000,,,,,,,,,,,,,,,,4.0,0.1683967364348642,0.0553747261800718,0.2501838915275377,10000.0,1.0558060793700037,0.9863128902280954,1.1228265230740837,10000.0,0.0985013833516386,1.09835697254579,,,,,,,,
post_hoc_model_family_sensitivity,contrast,domain_plus_compound_cold,source_ood,,667,10000,,,,,,,full_vs_chemistry_hist_gradient_boosting,full_context_hist_gradient_boosting,chemistry_hist_gradient_boosting,,,,,,,4.0,,,,,,,,,,,-0.0644342670192239,-0.0982686138211758,-0.0269845115098933,10000.0,-0.0298114548767145,-0.0514844467114796,-0.0078780538256665,10000.0
post_hoc_model_family_sensitivity,model,domain_plus_compound_cold,target_ood,chemistry_hist_gradient_boosting,601,10000,,,,,,,,,,,,,,,,8.0,0.0073279344994826,-0.0851641263985656,0.1105811550033767,10000.0,0.9517921474732168,0.8944132230851841,0.99682857140851,10000.0,0.1261445830631633,1.0102373992623774,,,,,,,,
post_hoc_model_family_sensitivity,model,domain_plus_compound_cold,target_ood,full_context_hist_gradient_boosting,601,10000,,,,,,,,,,,,,,,,8.0,-0.0050625614129584,-0.0955233047138068,0.1004696581440805,10000.0,0.9550003369822816,0.8965068284265558,0.9977328763820352,10000.0,0.121299197986482,1.0145926663930342,,,,,,,,
post_hoc_model_family_sensitivity,contrast,domain_plus_compound_cold,target_ood,,601,10000,,,,,,,full_vs_chemistry_hist_gradient_boosting,full_context_hist_gradient_boosting,chemistry_hist_gradient_boosting,,,,,,,8.0,,,,,,,,,,,-0.012390495912441,-0.0484958719557482,0.0286265799396261,10000.0,-0.0032081895090647,-0.0133320654235451,0.0095828722312447,10000.0
post_hoc_model_family_sensitivity,model,strict_domain_plus_scaffold_cold,source_ood,chemistry_hist_gradient_boosting,667,10000,,,,,,,,,,,,,,,,4.0,0.1429485529910922,0.0346099103548207,0.2256984931353672,10000.0,1.0723075429216813,0.9891000631392144,1.1529388438103525,10000.0,0.0768772839779294,1.117265398247128,,,,,,,,
post_hoc_model_family_sensitivity,model,strict_domain_plus_scaffold_cold,source_ood,full_context_hist_gradient_boosting,667,10000,,,,,,,,,,,,,,,,4.0,0.1056158206257763,-0.0216228678712645,0.1998690105292926,10000.0,1.084757677641384,1.0039521086346213,1.1664609503301533,10000.0,0.0762428545479153,1.1163175322341103,,,,,,,,
post_hoc_model_family_sensitivity,contrast,strict_domain_plus_scaffold_cold,source_ood,,667,10000,,,,,,,full_vs_chemistry_hist_gradient_boosting,full_context_hist_gradient_boosting,chemistry_hist_gradient_boosting,,,,,,,4.0,,,,,,,,,,,-0.0373327323653159,-0.0855000262444248,0.0027021607307111,10000.0,-0.0124501347197027,-0.0332211064958472,0.0063223443294968,10000.0
post_hoc_model_family_sensitivity,model,strict_domain_plus_scaffold_cold,target_ood,chemistry_hist_gradient_boosting,601,10000,,,,,,,,,,,,,,,,8.0,-0.0191215841156328,-0.1205249909461003,0.1049203927688996,10000.0,0.9553614758613228,0.89438431454621,1.0029134881891706,10000.0,0.1051250363742254,1.0181368705014555,,,,,,,,
post_hoc_model_family_sensitivity,model,strict_domain_plus_scaffold_cold,target_ood,full_context_hist_gradient_boosting,601,10000,,,,,,,,,,,,,,,,8.0,-0.032312539019976,-0.1274327713759214,0.0897106986878592,10000.0,0.9578396210514148,0.8959361164117654,1.0039744483701805,10000.0,0.1022734868037457,1.0189034109366062,,,,,,,,
post_hoc_model_family_sensitivity,contrast,strict_domain_plus_scaffold_cold,target_ood,,601,10000,,,,,,,full_vs_chemistry_hist_gradient_boosting,full_context_hist_gradient_boosting,chemistry_hist_gradient_boosting,,,,,,,8.0,,,,,,,,,,,-0.0131909549043432,-0.0516420496838534,0.0281143695526919,10000.0,-0.0024781451900921,-0.0134525353742374,0.01010093307421,10000.0
