training_fraction,model_id,metric,estimate,ci_low,ci_high,bootstrap_replicates,n_evaluation_rows,n_evaluation_scaffolds,train_rows_median,train_rows_min,train_rows_max,train_compounds_median,train_compounds_min,train_compounds_max,train_scaffolds_median,train_scaffolds_min,train_scaffolds_max
0.25,chemistry_extra_trees,spearman,0.5062749056278578,0.4121707536280155,0.5949003681540489,10000,1560,667,330.0,262,432,230.0,192,308,134.0,133,134
0.25,chemistry_extra_trees,rmse,0.8707354375477321,0.8038399815559387,0.9383264392614364,10000,1560,667,330.0,262,432,230.0,192,308,134.0,133,134
0.25,full_context_extra_trees,spearman,0.5523000062725626,0.4695957757532596,0.6292872861027717,10000,1560,667,330.0,262,432,230.0,192,308,134.0,133,134
0.25,full_context_extra_trees,rmse,0.8490384844904273,0.7831180796027184,0.9162199810147283,10000,1560,667,330.0,262,432,230.0,192,308,134.0,133,134
0.5,chemistry_extra_trees,spearman,0.5626010975662842,0.4737218759953975,0.6410811424255372,10000,1560,667,641.0,556,707,456.0,408,512,267.0,266,267
0.5,chemistry_extra_trees,rmse,0.8427691516498365,0.7734399661421776,0.9101345300674438,10000,1560,667,641.0,556,707,456.0,408,512,267.0,266,267
0.5,full_context_extra_trees,spearman,0.6031093274405409,0.5226564183831215,0.6737834587693214,10000,1560,667,641.0,556,707,456.0,408,512,267.0,266,267
0.5,full_context_extra_trees,rmse,0.8119908787296184,0.7425255879759789,0.8818741068243979,10000,1560,667,641.0,556,707,456.0,408,512,267.0,266,267
0.75,chemistry_extra_trees,spearman,0.5745987207243952,0.4854725763201714,0.6532116875052452,10000,1560,667,946.0,847,1029,688.0,629,726,401.0,399,401
0.75,chemistry_extra_trees,rmse,0.8284616326390202,0.7612246185541153,0.8941912919282913,10000,1560,667,946.0,847,1029,688.0,629,726,401.0,399,401
0.75,full_context_extra_trees,spearman,0.6182601612680296,0.5388523653149605,0.6872394204139709,10000,1560,667,946.0,847,1029,688.0,629,726,401.0,399,401
0.75,full_context_extra_trees,rmse,0.7948704010100515,0.7290501788258552,0.8614892214536667,10000,1560,667,946.0,847,1029,688.0,629,726,401.0,399,401
1.0,chemistry_extra_trees,spearman,0.5737908989415967,0.4829878538846969,0.6553400680422783,10000,1560,667,1248.0,1248,1248,908.0,891,945,534.0,532,534
1.0,chemistry_extra_trees,rmse,0.8265481676178733,0.7572897866368293,0.893429809808731,10000,1560,667,1248.0,1248,1248,908.0,891,945,534.0,532,534
1.0,full_context_extra_trees,spearman,0.6214826055643727,0.5415382117033005,0.6908651888370514,10000,1560,667,1248.0,1248,1248,908.0,891,945,534.0,532,534
1.0,full_context_extra_trees,rmse,0.7918019232732434,0.724180617928505,0.8596359044313431,10000,1560,667,1248.0,1248,1248,908.0,891,945,534.0,532,534
