axis,validation_regime,domain,n_rows,n_compounds,n_scaffolds,chemistry_spearman,full_spearman,delta_spearman_observed,delta_spearman_bootstrap_mean,delta_spearman_ci_low,delta_spearman_ci_high,delta_spearman_n_valid,chemistry_rmse,full_rmse,delta_rmse_observed
source,internal,MGTbind,755,664,394,0.5756341740414995,0.6249466334939765,0.049312459452476975,0.048535817187388065,0.0025859116594811717,0.11211906234823033,10000,0.8559048378361396,0.8247288673603159,0.031175970475823656
source,internal,MGDB,357,340,205,0.5411858778011052,0.5583539308834589,0.017168053082353696,0.01705649847033789,-0.005058386792163563,0.04419501190036373,10000,0.6154659696841865,0.5843645143388568,0.03110145534532971
source,internal,MolGlueDB,289,247,144,0.5566980509277366,0.5949694246651065,0.038271373737369885,0.039415902352262375,-0.005078088758198887,0.08347630225995771,10000,0.9205827040373881,0.8769839667593936,0.04359873727799446
source,internal,TPDdb,119,118,58,0.6509308860260357,0.6930826114691622,0.04215172544312651,0.04373983234791976,-0.02223175770951164,0.11602111904533413,10000,0.9328338036335502,0.884833248786353,0.04800055484719712
source,ood,MGTbind,755,664,394,0.08429883042297945,0.1237568595345418,0.03945802911156235,0.03860575321141201,-0.017887193561635765,0.11283096778534274,10000,1.0716492845515078,1.039147206344308,0.03250207820719986
source,ood,MGDB,357,340,205,-0.021532555881541147,-0.007601006071966528,0.01393154980957462,0.013309813651417746,-0.03513122322650656,0.06304250670321487,10000,0.7767827937185214,0.7767610188905197,2.1774828001697166e-05
source,ood,MolGlueDB,289,247,144,0.30264026367303526,0.34675625631449614,0.04411599264146088,0.046494294203823616,-0.07909451663332778,0.15596285980796784,10000,1.0958535888361316,1.0579756839903731,0.03787790484575848
source,ood,TPDdb,119,118,58,0.5833842771911114,0.14023296465612123,-0.4431513125349902,-0.4101179824496713,-0.6809568691961835,-0.174002598426459,10000,1.0061928356403258,1.082886936385067,-0.07669410074474126
target,internal,VAV1,455,404,230,0.5491872303081374,0.5778380492145297,0.028650818906392317,0.027613270162830942,-0.0021719087570924583,0.06546839610377195,10000,0.9209688835152359,0.8988782244360819,0.022090659079153974
target,internal,CSNK1A1,159,139,68,0.4356416573885596,0.5297206697351793,0.0940790123466197,0.09653258190355436,-0.04505408561089907,0.23459850343433084,10000,0.9869623666315409,0.8934337717650145,0.09352859486652643
target,internal,GSPT1,154,106,74,0.6439712893899512,0.6780700406196238,0.03409875122967265,0.036734597869212154,-0.02703811779692609,0.11415608421646305,10000,0.9050591410359453,0.8087898289073527,0.09626931212859258
target,internal,WIZ,150,123,47,0.5932959692038122,0.5937258316707121,0.0004298624668999107,-0.0019406887481530984,-0.04837474778709799,0.04019579413299626,10000,0.3960455560739007,0.38860126941334083,0.007444286660559851
target,internal,CDK2,145,145,102,0.39710319499508356,0.40454104398266993,0.007437848987586371,0.007133847849706855,-0.016956562695174336,0.03084711188450494,10000,0.4471381660958042,0.44460530500965817,0.002532861086146032
target,internal,CCNK+CDK12,86,73,52,0.4545697497396026,0.4387641211139675,-0.015805628625635115,-0.009357718252857226,-0.08859129174940057,0.05597911280007767,10000,0.6310917321521092,0.6302753487067191,0.0008163834453901453
target,internal,IKZF2,76,65,32,0.30304646291255394,0.4453209955461979,0.14227453263364398,0.08573813176707654,-0.2924705251976505,0.4196872856864254,10000,0.8146623536909862,0.6477344816505315,0.16692787204045467
target,internal,IKZF1,65,60,34,0.23745614821041425,0.23563997478108492,-0.0018161734293293263,-0.008290812415367778,-0.13828593625989333,0.13082231844710315,10000,0.8591758738605486,0.7971431258710939,0.062032747989454684
target,ood,VAV1,455,404,230,0.17605537192506526,0.19294728049609752,0.01689190857103226,0.01748347736656836,-0.01659100288958567,0.054145564231105094,10000,1.0195736284453345,1.0217199900438316,-0.0021463615984971263
target,ood,CSNK1A1,159,139,68,0.13657540896875292,0.12159168945275695,-0.014983719515995975,-0.011333376593823132,-0.058349528052654975,0.045537720369976865,10000,1.0775615612362144,1.0964527151413377,-0.018891153905123304
target,ood,GSPT1,154,106,74,0.2150641861872378,-0.18577160589351818,-0.400835792080756,-0.3873873130877419,-0.533170797761689,-0.24672000408248546,10000,1.153690316461034,1.2076796614145733,-0.05398934495353935
target,ood,WIZ,150,123,47,0.0050631853527195805,0.16942284715725853,0.16435966180453895,0.138674486838842,-0.23457465857197354,0.4864408204383811,10000,0.5664241742270021,0.5095353943170776,0.05688877990992447
target,ood,CDK2,145,145,102,-0.036476790405036166,-0.22592660751164362,-0.18944981710660747,-0.19044840435767355,-0.32052540976569943,-0.0662410789887586,10000,0.526080352033203,0.5490750078443022,-0.022994655811099163
target,ood,CCNK+CDK12,86,73,52,0.3039800307735974,0.3348982500583158,0.030918219284718385,0.029994841423202932,-0.08304318603994813,0.1343559466318515,10000,0.8000070370031315,0.8188423824829099,-0.018835345479778387
target,ood,IKZF2,76,65,32,-0.05090655513348546,-0.1566300489692439,-0.10572349383575844,-0.10480079847659832,-0.36296630838737,0.14928362464027753,10000,0.9285011412882638,0.9575753852008855,-0.0290742439126217
target,ood,IKZF1,65,60,34,0.19078897129420544,0.1629218413893152,-0.027867129904890237,-0.026003746177538072,-0.09430562985576674,0.03093792844302975,10000,0.9571623749259726,0.9287234161722678,0.028438958753704724
