axis,omitted_domain,n_domains_retained,paired_regime_change_all_domains,paired_regime_change_after_omission
source,MGTbind,3,-0.12313733817192984,-0.16089830744893494
source,MGDB,3,-0.12313733817192984,-0.16310428313831346
source,MolGlueDB,3,-0.12313733817192984,-0.16613132386393678
source,TPDdb,3,-0.12313733817192984,-0.002415438236534237
target,VAV1,7,-0.10200489841244613,-0.11489718242345841
target,CSNK1A1,7,-0.10200489841244613,-0.10099663649099332
target,GSPT1,7,-0.10200489841244613,-0.054443520569877175
target,WIZ,7,-0.10200489841244613,-0.13999556951960115
target,CDK2,7,-0.10200489841244613,-0.08845021731505358
target,CCNK+CDK12,7,-0.10200489841244613,-0.12325186217284609
target,IKZF2,7,-0.10200489841244613,-0.08114873726145236
target,IKZF1,7,-0.10200489841244613,-0.11285546154628687
