file,extension,size_bytes,sha256,width_mm,height_mm,source,scientific_status,response_dtype,float32_correction_sha256,fixed_domain_correction_sha256,source_data_extension_index_sha256,source_data_extension_checksums_sha256,source_data_extension_provenance_sha256,source_data_generation_id,pixel_width,pixel_height,image_mode,dpi_x,dpi_y
fig1_validation_gradient.pdf,.pdf,30441,b79d1f48a7ce742c5ecb1354553e7b9d3889b7a5f49d71b587268a5f58c50e98,,,existing_publication_figure_v1,FROZEN_EXISTING,,,not_applicable,,,,,,,,,
fig1_validation_gradient.png,.png,297912,f3ef21b04a6715dbeb0d9f37fd377e8c32e3058651c65f12f43f6b9626c678b6,,,existing_publication_figure_v1,FROZEN_EXISTING,,,not_applicable,,,,,1833.0,1472.0,RGBA,299.9994,299.9994
fig1_validation_gradient.svg,.svg,53273,3dd581aeaef48afe8b833daf7adafd04baba32292395a41e0a1a7ff3af793119,,,existing_publication_figure_v1,FROZEN_EXISTING,,,not_applicable,,,,,,,,,
fig1_validation_gradient.tiff,.tiff,897220,0bfdd1eeb615df72b8f644344aec4378355e48bd5f9b33a8571aecff89dfc006,,,existing_publication_figure_v1,FROZEN_EXISTING,,,not_applicable,,,,,3666.0,2947.0,RGB,600.0,600.0
fig2_internal_evidence.pdf,.pdf,23413,935632a627788de617119b255754c223d08b469f1573baf6358762c559661fd6,,,existing_publication_figure_v1,FROZEN_EXISTING,,,not_applicable,,,,,,,,,
fig2_internal_evidence.png,.png,125234,b11620eef99a54eb3b23e15325d772b0ce75f608e1e5dd45ee7ae12b9cb6bd5f,,,existing_publication_figure_v1,FROZEN_EXISTING,,,not_applicable,,,,,1792.0,1180.0,RGBA,299.9994,299.9994
fig2_internal_evidence.svg,.svg,38945,acb48095bec839ca7c8925c2f82c21a04fa4ccc7d1c22804bccd2d4036c79935,,,existing_publication_figure_v1,FROZEN_EXISTING,,,not_applicable,,,,,,,,,
fig2_internal_evidence.tiff,.tiff,465734,3c7e6d109d05ac33c9b71180533cb9fe180e8bd4d5a6e158e78e94216d63d92d,,,existing_publication_figure_v1,FROZEN_EXISTING,,,not_applicable,,,,,3585.0,2363.0,RGB,600.0,600.0
fig3_domain_transfer.pdf,.pdf,24190,f7f3b7319c7042ef9c0f1c72994b034cc91a1385312f9a26110f5f6bf9eace01,,,existing_publication_figure_v1,FROZEN_EXISTING,,,not_applicable,,,,,,,,,
fig3_domain_transfer.png,.png,220249,d0c598a4a6b5468c66161b01037197ac30cdac54f39425195eb0845a74b43f05,,,existing_publication_figure_v1,FROZEN_EXISTING,,,not_applicable,,,,,1755.0,1212.0,RGBA,299.9994,299.9994
fig3_domain_transfer.svg,.svg,50694,8b63aec33a73cf2d4a8ef338756497e9ebf73be0358c8be94fd8c0f37e90294c,,,existing_publication_figure_v1,FROZEN_EXISTING,,,not_applicable,,,,,,,,,
fig3_domain_transfer.tiff,.tiff,583656,c22a738aa68f38c6ee6cde9da706f45b3f9283f53fa768ffc8e0418a814d818c,,,existing_publication_figure_v1,FROZEN_EXISTING,,,not_applicable,,,,,3511.0,2428.0,RGB,600.0,600.0
fig4_boundary_and_calibration.pdf,.pdf,28811,fb4f85dd037182659b3299d2efbe88c30379130bf1005d90498814be70d59bb8,,,existing_publication_figure_v1,FROZEN_EXISTING,,,not_applicable,,,,,,,,,
fig4_boundary_and_calibration.png,.png,291545,193f817c89a9f658cd2073019a68b628f9a31bbce5d6db398b0e983678053326,,,existing_publication_figure_v1,FROZEN_EXISTING,,,not_applicable,,,,,1896.0,1202.0,RGBA,299.9994,299.9994
fig4_boundary_and_calibration.svg,.svg,47868,e8bf2bedc4b498bd1aadeaf85d610a4e89c8eecf8049cf5e501a7ab41a00d9df,,,existing_publication_figure_v1,FROZEN_EXISTING,,,not_applicable,,,,,,,,,
fig4_boundary_and_calibration.tiff,.tiff,774904,176d7826a8898467c696805e888c7eda9dc2149aa29b145c297b529848c48de1,,,existing_publication_figure_v1,FROZEN_EXISTING,,,not_applicable,,,,,3792.0,2407.0,RGB,600.0,600.0
fig5_robustness_map.pdf,.pdf,37389,e6b8539a5a82e1a22b0b46fc468450b30dda5cdc35f5b393a442ed3105b71f71,170.0,140.97,post_hoc_extension_float32_v4,FORMAL,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,not_applicable,8cd3acaf120fe09bc1b92b894d6e8b365f3af550b1f165ccad31b459324bc3f4,103276a4b71ab80d6db41447faf955a749b2a8f69f0099b55de5328ecd5e71b4,b67e1f3581d536bca09650a3afeafa09a6dfba2c2f969809041a539528039bc5,2dfa3b400e36d870b4b2f7b6860c6ffd38e07ff16aaf756aab930b5ca0844f6c,,,,,
fig5_robustness_map.png,.png,253628,2c82f11737950054bca721debcacd0412fabeac665cb59869dcdbda4f24b6ac1,170.0,140.97,post_hoc_extension_float32_v4,FORMAL,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,not_applicable,8cd3acaf120fe09bc1b92b894d6e8b365f3af550b1f165ccad31b459324bc3f4,103276a4b71ab80d6db41447faf955a749b2a8f69f0099b55de5328ecd5e71b4,b67e1f3581d536bca09650a3afeafa09a6dfba2c2f969809041a539528039bc5,2dfa3b400e36d870b4b2f7b6860c6ffd38e07ff16aaf756aab930b5ca0844f6c,2007.0,1665.0,RGBA,299.9994,299.9994
fig5_robustness_map.svg,.svg,48916,971594bebdabf812319d3f34e4f7f527ad7859f7f4d394f7695671d4bb6f3254,170.0,140.97,post_hoc_extension_float32_v4,FORMAL,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,not_applicable,8cd3acaf120fe09bc1b92b894d6e8b365f3af550b1f165ccad31b459324bc3f4,103276a4b71ab80d6db41447faf955a749b2a8f69f0099b55de5328ecd5e71b4,b67e1f3581d536bca09650a3afeafa09a6dfba2c2f969809041a539528039bc5,2dfa3b400e36d870b4b2f7b6860c6ffd38e07ff16aaf756aab930b5ca0844f6c,,,,,
fig5_robustness_map.tiff,.tiff,924880,0e16bdd154868889fbc7bfc6435a9ed946a024cc12292dc5407bc87b7818d09f,170.0,140.97,post_hoc_extension_float32_v4,FORMAL,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,not_applicable,8cd3acaf120fe09bc1b92b894d6e8b365f3af550b1f165ccad31b459324bc3f4,103276a4b71ab80d6db41447faf955a749b2a8f69f0099b55de5328ecd5e71b4,b67e1f3581d536bca09650a3afeafa09a6dfba2c2f969809041a539528039bc5,2dfa3b400e36d870b4b2f7b6860c6ffd38e07ff16aaf756aab930b5ca0844f6c,4015.0,3330.0,RGB,600.0,600.0
supp_fig_s1_applicability_profile.pdf,.pdf,38558,f15c152364875516d754baa144c631f8d6d6f5fe95de6c85818865586554cf82,170.0,188.468,post_hoc_extension_float32_v4,FORMAL,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,9c2d8f90fa546480a37b6e7546cbd9e9a740916325e5dec973f9fa7f8ef899ce,8cd3acaf120fe09bc1b92b894d6e8b365f3af550b1f165ccad31b459324bc3f4,103276a4b71ab80d6db41447faf955a749b2a8f69f0099b55de5328ecd5e71b4,b67e1f3581d536bca09650a3afeafa09a6dfba2c2f969809041a539528039bc5,2dfa3b400e36d870b4b2f7b6860c6ffd38e07ff16aaf756aab930b5ca0844f6c,,,,,
supp_fig_s1_applicability_profile.png,.png,341676,fa8f403ea142c6d16fe9d6811a132e1742a623fabc5bc7f50db4525b050fb010,170.0,188.468,post_hoc_extension_float32_v4,FORMAL,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,9c2d8f90fa546480a37b6e7546cbd9e9a740916325e5dec973f9fa7f8ef899ce,8cd3acaf120fe09bc1b92b894d6e8b365f3af550b1f165ccad31b459324bc3f4,103276a4b71ab80d6db41447faf955a749b2a8f69f0099b55de5328ecd5e71b4,b67e1f3581d536bca09650a3afeafa09a6dfba2c2f969809041a539528039bc5,2dfa3b400e36d870b4b2f7b6860c6ffd38e07ff16aaf756aab930b5ca0844f6c,2007.0,2226.0,RGBA,299.9994,299.9994
supp_fig_s1_applicability_profile.svg,.svg,84315,ad15d5e5de5d40917365a3c06bf3afe6dd397fc448dc85c7be22b90922d7fb2d,170.0,188.468,post_hoc_extension_float32_v4,FORMAL,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,9c2d8f90fa546480a37b6e7546cbd9e9a740916325e5dec973f9fa7f8ef899ce,8cd3acaf120fe09bc1b92b894d6e8b365f3af550b1f165ccad31b459324bc3f4,103276a4b71ab80d6db41447faf955a749b2a8f69f0099b55de5328ecd5e71b4,b67e1f3581d536bca09650a3afeafa09a6dfba2c2f969809041a539528039bc5,2dfa3b400e36d870b4b2f7b6860c6ffd38e07ff16aaf756aab930b5ca0844f6c,,,,,
supp_fig_s1_applicability_profile.tiff,.tiff,1131936,9a86961a54823ea48f663106390739a8eed06d9a445ee3b1b59b724f60d0a7a5,170.0,188.468,post_hoc_extension_float32_v4,FORMAL,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,9c2d8f90fa546480a37b6e7546cbd9e9a740916325e5dec973f9fa7f8ef899ce,8cd3acaf120fe09bc1b92b894d6e8b365f3af550b1f165ccad31b459324bc3f4,103276a4b71ab80d6db41447faf955a749b2a8f69f0099b55de5328ecd5e71b4,b67e1f3581d536bca09650a3afeafa09a6dfba2c2f969809041a539528039bc5,2dfa3b400e36d870b4b2f7b6860c6ffd38e07ff16aaf756aab930b5ca0844f6c,4015.0,4452.0,RGB,600.0,600.0
supp_fig_s2_permutation_controls.pdf,.pdf,40295,769455d65263f08b5b616fd1d446c315a9dff35e6b4971d452360975730b3540,170.0,135.89,post_hoc_extension_float32_v4,FORMAL,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,9c2d8f90fa546480a37b6e7546cbd9e9a740916325e5dec973f9fa7f8ef899ce,8cd3acaf120fe09bc1b92b894d6e8b365f3af550b1f165ccad31b459324bc3f4,103276a4b71ab80d6db41447faf955a749b2a8f69f0099b55de5328ecd5e71b4,b67e1f3581d536bca09650a3afeafa09a6dfba2c2f969809041a539528039bc5,2dfa3b400e36d870b4b2f7b6860c6ffd38e07ff16aaf756aab930b5ca0844f6c,,,,,
supp_fig_s2_permutation_controls.png,.png,221242,29f7746bebbd86d1210e6a955f84a26735e088cd00a7d45532e030a391c477d6,170.0,135.89,post_hoc_extension_float32_v4,FORMAL,float32,75a8b0e4f894cead9d72039eab9e6162a89d2a20c79afceda8a2aae1ffd78f3f,9c2d8f90fa546480a37b6e7546cbd9e9a740916325e5dec973f9fa7f8ef899ce,8cd3acaf120fe09bc1b92b894d6e8b365f3af550b1f165ccad31b459324bc3f4,103276a4b71ab80d6db41447faf955a749b2a8f69f0099b55de5328ecd5e71b4,b67e1f3581d536bca09650a3afeafa09a6dfba2c2f969809041a539528039bc5,2dfa3b400e36d870b4b2f7b6860c6ffd38e07ff16aaf756aab930b5ca0844f6c,2007.0,1605.0,RGBA,299.9994,299.9994
