relative_path,sha256,size_bytes,kind,n_rows,n_columns,verification
ood_aggregate_metrics.csv,2dc191c039d908522c9a11a4e9405fe5cc4ac66b3b595cfeb51bed5569958c1f,6044,csv,16,30,PASS
ood_analysis_index.csv,8e428539689da3ec909d90842a3ea63407d786087621279cfc96b7ffa1a4d041,302542,csv,1560,9,PASS
ood_checkpoint_inventory.json,badcfedfab95629c22626442240d444d336b03d5ebac34a6eba903db8f29522e,3898,json,,,PASS
ood_context_sanitization_audit.csv,cbdb3b0a285d493279a58ee9515a590dc90763bf97ac80a073b63b5487f03274,1786,csv,18,6,PASS
ood_domain_metrics.csv,0409b4072403847f0316652ad2c16f713c07a60abab0c837b03612c7a5beff77,23215,csv,96,29,PASS
ood_domain_scaffold_bootstrap.csv,9496173518d75f9439befac83ad71dd28db70b0cd90e19a3fd6f373a8ae04b4f,20566,csv,96,15,PASS
ood_inner_split_audit.csv,e70cfed6ae8bfe1550495d07478bad04a0ec7cef2333cbec8493234a4735be83,15337,csv,48,15,PASS
ood_inner_tuning_metrics.csv,83e23ac28c7ff6e9d96efc03b0146e0c3376eba684747a7e9bf782c4cb02c5de,82421,csv,432,12,PASS
ood_paired_scaffold_bootstrap.csv,afcc9ea29ff27c1e565449fe419c9eca88b05e9c30c1404f18c32df47e30bd42,13650,csv,26,51,PASS
ood_predictions.csv,0af39d248adff5cd17fc6d21cce1bfbd0c38051a740d14019d2e80b49c0cef5a,6997262,csv,22480,22,PASS
ood_run_manifest.json,1692bd2bcf729a8d099875bc1d640f351e30691afa480f54a42e8a99cadf4b65,34402,json,,,PASS
ood_selected_hyperparameters.csv,f3c031f2b7a73a09edbbd0d5ba20828d2a396d619e50742e2c7f51aa81e3a36f,5233,csv,84,10,PASS
ood_split_audit.csv,18c281f1ef66797288b741bd9522f91097182ee4a4366f9d60315c747238fd27,1742,csv,12,22,PASS
