relative_path,sha256,size_bytes,kind,n_rows,n_columns,verification
configuration.json,9b9c00e7275d3a399fc7f78828078876a559e8d5098a47dfe86c964b5efcea29,7082,json,,,PASS
context_sanitization_audit.csv,cbdb3b0a285d493279a58ee9515a590dc90763bf97ac80a073b63b5487f03274,1786,csv,18.0,6.0,PASS
internal_canonical_compound_metrics.csv,17a9f5de087646173933fc23172e0dc393c4e9c2dbc5e599525c127ddc97f862,1938,csv,6.0,15.0,PASS
internal_domain_metrics.csv,4474341a8288aaa282896bc7e09f03aa66798027a0045dce5f535200c3c71af3,123122,csv,588.0,17.0,PASS
internal_paired_scaffold_bootstrap.csv,899572fbf84b6db3a8b53b8e0ee72fe1f88146d4c5023eb02875674dc227099c,6283,csv,13.0,27.0,PASS
internal_predictions.csv,2d6d3acf1b11f6a79d5356c6623406cec6f529cb6f629a67d0b25a7b68d3eedf,17627756,csv,46800.0,24.0,PASS
internal_repeat_averaged_predictions.csv,e830130b057213282b5305e96dc97a405d596c740a6138c5e829aeb9132f999c,3195321,csv,9360.0,18.0,PASS
internal_repeat_metrics.csv,db2a629ff322f0acfbd363fae75fd5b07f3417e6a8aeec208a419fbdf4daff2d,8248,csv,30.0,18.0,PASS
internal_selected_hyperparameters.csv,6b45f6b4701d89e8e7be6ea2c62bdb889d33d4bd2244e826b74d74d0bafd25f9,22897,csv,150.0,10.0,PASS
internal_split_audit.csv,7890da754c4880953fd744f44348aa6751c379ea1bdbdec10ac773a0eeefd3bc,4383,csv,25.0,11.0,PASS
internal_summary_metrics.csv,d897dbfea2d78c6924525918dfc4713fbc51b9ce46f9c57c4986730090b460b2,1881,csv,6.0,19.0,PASS
internal_tuning_metrics.csv,b79422e8e39b6526d0d4244c45822b9745c03c3189611fa1bb4e052c2f51745f,154720,csv,600.0,16.0,PASS
internal_weight_diagnostics.csv,dfed5f9cbedef1efda85b024e6180d7ad625ca95fb53e8826dd462185c67ab20,84583,csv,250.0,22.0,PASS
ood_aggregate_metrics.csv,096e2aa34367c01a278b691a195bd960ea68984a7797a52e3b771e3f00dc2a15,2846,csv,6.0,30.0,PASS
ood_domain_metrics.csv,f083598f5600c4d164c6f454f664c90d220e42b09dc852aca711c901501b9420,6971,csv,36.0,13.0,PASS
ood_domain_scaffold_bootstrap.csv,352611dfa538f3b096ccde7e6dd432506b38ebf9782f86353ea6175a8937aee8,8683,csv,36.0,15.0,PASS
ood_paired_scaffold_bootstrap.csv,81076dbdd64880639ff76159af9bfde58802e17b4a96def8ac4739e88d0a90fd,7534,csv,12.0,51.0,PASS
ood_portable_feature_audit.csv,a7342a2e3abcbe64ee39f5671fb67d433f3b464f8838775588294f88823015ff,2782,csv,12.0,14.0,PASS
ood_portable_inner_split_audit.csv,faae8adec59b81981162b9a779dbaf0bb02ef770b227a7d2fb234ea4789b8df9,9946,csv,48.0,18.0,PASS
ood_portable_selected_hyperparameters.csv,5fc46c372088b6347644db01906f454aa6c8d92bcf60e8fc1643c10a250894ca,915,csv,12.0,6.0,PASS
ood_portable_tuning_metrics.csv,85e4d8a68996c5b104a34b3327d0390d488ccfcdb7ffa0eb2b85c4dfbedffe7b,15484,csv,72.0,13.0,PASS
ood_predictions.csv,f238a233ae0dd258a037c82813be594fcffaf70e70608dd79449a886ac9ca2c0,2981416,csv,8430.0,23.0,PASS
qa_summary.json,229868e44c2c722260c1456b3392e830b89b4df4ed860cbf79ae045e1954a565,3623,json,,,PASS
qa_summary.md,8f4cac346f01255b90e34eae618d2274d8f536b8212bd4b9c41edfe9bc6db5fe,2350,md,,,PASS
results_brief_zh.md,615afce97e36b90ea05f36b14d089784903659c89b3b41beb1c5f3c3587da366,1938,md,,,PASS
run_manifest.json,3d0edcdd32354f98ef708aa7730d803260b4867d766ba9e6a48166cf7c9c0939,17820,json,,,PASS
