relative_path,sha256,size_bytes,kind,n_rows,n_columns,verification
strict_ood_aggregate_metrics.csv,39632eaa39b1c10af41634f611f1b025eeb56aaf9c0ac48aa6b40a8fc2a9d5ee,976,csv,6,10,PASS
strict_ood_analysis_index.csv,8e428539689da3ec909d90842a3ea63407d786087621279cfc96b7ffa1a4d041,302542,csv,1560,9,PASS
strict_ood_checkpoint_inventory.json,033a5c9015401ca04e35fbab8afdeba9477d97d00393e61aa191f9d2d36a9d87,3741,json,,,PASS
strict_ood_context_sanitization_audit.csv,cbdb3b0a285d493279a58ee9515a590dc90763bf97ac80a073b63b5487f03274,1786,csv,18,6,PASS
strict_ood_domain_metrics.csv,93f4dba691fe8196106bf34a526dbafeb7227e342def36557a11c59ca769fa8e,10043,csv,36,26,PASS
strict_ood_inner_split_audit.csv,f4bf8ad572c56d6e6c53d9b5aebb76a49d09439921d100e89574c4209a1d1132,16352,csv,48,16,PASS
strict_ood_inner_tuning_metrics.csv,fba8490c954b267b6db4343713ec0cfd65de2af1d229ed0b2a9bb06d0f0074ed,47499,csv,216,13,PASS
strict_ood_paired_global_scaffold_bootstrap.csv,9aa6ed9e675aa485eb7f3dbca7f2cdf1a368d657c7204e2c88a2dc19fc14749f,6398,csv,10,52,PASS
strict_ood_predictions.csv,c17e2f90d2462bcff9e82a4ae21be569d8b81bd639a16ba6b6cd753042d7fc67,2755266,csv,8430,19,PASS
strict_ood_run_manifest.json,81383862d31dcb908768af759194e3c33bd6c097c72c158c60199ca13a3d8457,34864,json,,,PASS
strict_ood_selected_hyperparameters.csv,1399db6ed0c64c28cdc4f1344834ccbc573d4ac13a36e848094076acbd6afcb6,3242,csv,36,7,PASS
strict_ood_split_audit.csv,cb1dfd4c48fa2f1ab037fe77e67c5c478a4f70605b37c2c4fd8157adf85a8de5,5212,csv,12,27,PASS
